Rank,Title,Year,Director,Primary_Genre,Synopsis,Major_Awards,Key_Sources
1,Amour,2012,Michael Haneke,Drama,An elderly retired music teacher cares for his wife after she suffers a series of strokes and their bond is tested to its limits in Hanekes devastating masterpiece about love mortality and dignity.,Cannes Palme dOr; Oscar Best Foreign Language Film; Oscar nom Best Picture + Director + Actress (Riva); BAFTA Foreign; Golden Globe Foreign; MC 94 RT 93; Riva Trintignant; Hanekes crowning achievement,"Cannes Film Festival, Academy Awards, BAFTA, Golden Globes, Metacritic"
2,Argo,2012,Ben Affleck,Thriller/Drama,A CIA exfiltration specialist poses as a Hollywood producer scouting locations for a fake sci-fi film to rescue six American diplomats hiding in Tehran during the 1979 hostage crisis.,Oscar Best Picture + Adapted Screenplay + Film Editing; BAFTA Best Film + Director; Golden Globe Drama + Director; MC 86 RT 96; Affleck directing triumph,"Academy Awards, BAFTA, Golden Globes, Metacritic, Rotten Tomatoes"
3,Silver Linings Playbook,2012,David O. Russell,Comedy/Drama,A man recovering from a mental health crisis moves back in with his parents and forms an unlikely bond with a young widow as they prepare for a dance competition.,Oscar Actress (Lawrence); TIFF Peoples Choice; Spirit Best Feature + Director + Female Lead + Screenplay; 8 Oscar noms; MC 81 RT 92; Lawrence Cooper De Niro,"Academy Awards, TIFF, Independent Spirit Awards, Metacritic"
4,Beasts of the Southern Wild,2012,Benh Zeitlin,Drama/Fantasy,A six-year-old girl and her fiercely independent father face a rising flood and mythic creatures in a forgotten Louisiana bayou community in Zeitlins visionary debut.,Sundance Grand Jury Prize; Cannes Camera dOr; 4 Oscar noms (Picture Director Actress Adapted Screenplay); MC 86 RT 86; Wallis youngest Best Actress nominee; magical realism,"Sundance, Cannes Film Festival, Academy Awards, Metacritic"
5,5 Broken Cameras,2012,Emad Burnat and Guy Davidi,Documentary,A Palestinian farmer documents five years of nonviolent resistance in his West Bank village through five cameras each destroyed by Israeli forces.,Oscar nom Documentary; RT 92 MC 81; Sundance World Cinema Director Documentary; co-directed Palestinian-Israeli; protest cinema; personally dangerous filmmaking,"Academy Awards, Sundance Film Festival, Metacritic, Rotten Tomatoes"
6,Lincoln,2012,Steven Spielberg,Drama/Biopic,President Abraham Lincoln navigates the treacherous political landscape to pass the Thirteenth Amendment abolishing slavery during the final months of the Civil War.,Oscar Actor (Day-Lewis) + Production Design; 12 Oscar noms; Golden Globe Actor; MC 87 RT 89; Day-Lewis third Oscar; Field Jones; Spielberg and Kushner collaboration,"Academy Awards, Golden Globes, Metacritic, Rotten Tomatoes"
7,Caesar Must Die,2012,Paolo Taviani and Vittorio Taviani,Drama,Maximum security inmates at Romes Rebibbia prison rehearse and perform Julius Caesar and the play bleeds into their own lives of betrayal and violence.,Berlin Golden Bear; RT 90 MC 72; Taviani brothers late masterwork; prison Shakespeare; documentary-fiction hybrid; Italian neorealism legacy; deeply moving,"Berlin Film Festival, Metacritic, Rotten Tomatoes, IndieWire"
8,Pieta,2012,Kim Ki-duk,Drama/Thriller,A ruthless loan shark who cripples debtors for insurance payouts is approached by a woman claiming to be the mother who abandoned him at birth in Kim Ki-duks savage Korean revenge parable.,Venice Golden Lion; RT 71 MC 62; Kim Ki-duk comeback; mother-son perversity; Korean revenge cinema; Venice upset winner; brutal and uncompromising,"Venice Film Festival, Metacritic, Rotten Tomatoes, IndieWire"
9,Life of Pi,2012,Ang Lee,Adventure/Drama,A young Indian man recounts his extraordinary survival story of 227 days stranded on a lifeboat in the Pacific Ocean with a Bengal tiger in Lees visually transcendent adaptation.,Oscar Director + Cinematography + Score + VFX (4 wins); 11 Oscar noms; Golden Globe Score + Song; MC 79 RT 87; $609M on $120M; 3D masterclass; Ang Lee triumph,"Academy Awards, Golden Globes, Metacritic, Rotten Tomatoes, Box Office Mojo"
10,Reality,2012,Matteo Garrone,Comedy/Drama,A Neapolitan fishmonger becomes obsessed with auditioning for the Big Brother television show and his fixation consumes his life in Garrones satirical fable of fame culture.,Cannes Grand Prix; RT 82 MC 66; Garrone (Gomorrah follow-up); Italian media satire; Kafka meets reality TV; Neapolitan absurdism; Cannes crowd-pleaser,"Cannes Film Festival, Metacritic, Rotten Tomatoes, IndieWire"
11,Searching for Sugar Man,2012,Malik Bendjelloul,Documentary,The extraordinary true story of Sixto Rodriguez a forgotten American folk musician who unknowingly became a cultural icon in apartheid-era South Africa is uncovered.,Oscar Best Documentary Feature; Sundance World Cinema Audience; BAFTA Documentary; RT 95 MC 73; Bendjelloul; musical mystery; truth stranger than fiction,"Academy Awards, Sundance Film Festival, BAFTA, Metacritic"
12,The Angels Share,2012,Ken Loach,Comedy/Drama,A young Glaswegian father with a violent past discovers a talent for whisky tasting and hatches a heist plan to steal a cask of priceless single malt in Loachs warmhearted caper.,Cannes Jury Prize; RT 87 MC 72; Loach comic mode; Glasgow working class; whisky culture; social realism meets heist comedy; Paul Laverty script,"Cannes Film Festival, Metacritic, Rotten Tomatoes, Box Office Mojo"
13,The Sessions,2012,Ben Lewin,Drama/Comedy,A polio survivor confined to an iron lung hires a sex surrogate to help him lose his virginity in Lewins warm and candid true-life drama about desire and disability.,Sundance Audience Dramatic; Oscar nom Supporting Actress (Hunt); Spirit Male Lead (Hawkes) + Supporting Female (Hunt); RT 88 MC 75; Hawkes extraordinary,"Sundance, Academy Awards, Independent Spirit Awards, Metacritic"
14,The Invisible War,2012,Kirby Dick,Documentary,The epidemic of sexual assault within the United States military is exposed through the testimony of survivors and the institutional failures that enable it.,Sundance Audience Documentary; Oscar nom Documentary; RT 97 MC 83; Dick investigative power; military reform catalyst; testimony shattering; politically impactful,"Sundance Film Festival, Academy Awards, Metacritic, Rotten Tomatoes"
15,Django Unchained,2012,Quentin Tarantino,Western/Action,A freed slave teams with a German bounty hunter to rescue his wife from a brutal Mississippi plantation owner in Tarantinos audacious revisionist revenge western.,Oscar Original Screenplay + Supporting Actor (Waltz); BAFTA Original Screenplay; Golden Globe Screenplay; MC 81 RT 87; $426M; Foxx DiCaprio Waltz; Tarantino at his most provocative,"Academy Awards, BAFTA, Golden Globes, Metacritic, Box Office Mojo"
16,Moonrise Kingdom,2012,Wes Anderson,Comedy/Drama,Two twelve-year-olds fall in love and run away together on a New England island sparking a search party of adults in Andersons enchanting storybook romance.,Cannes opening film; Oscar nom Original Screenplay; MC 84 RT 93; Anderson at his most tender; Norton Willis Murray; childhood fantasy perfected; $68M indie hit,"Cannes Film Festival, Academy Awards, Metacritic, Rotten Tomatoes"
17,No,2012,Pablo Larrain,Drama/History,An advertising executive leads the campaign to defeat Augusto Pinochet in Chiles 1988 referendum using the unlikely weapon of optimistic television commercials in Larrains inventive political drama.,Oscar nom Foreign Language; Cannes Directors Fortnight; RT 93 MC 82; Gael Garcia Bernal; Chilean history; U-matic video aesthetic; advertising as revolution,"Academy Awards, Cannes Film Festival, Metacritic, Rotten Tomatoes"
18,Skyfall,2012,Sam Mendes,Action/Thriller,James Bond must track down and destroy a former MI6 agent who threatens to expose undercover operatives while confronting his own past in Mendes franchise-revitalizing espionage thriller.,Oscar Song (Adele Skyfall) + Sound Editing; BAFTA Outstanding British Film; $1.108B worldwide; Bond franchise peak; MC 81 RT 92; Bardem villain; Deakins cinematography,"Academy Awards, BAFTA, Metacritic, Rotten Tomatoes, Box Office Mojo"
19,Zero Dark Thirty,2012,Kathryn Bigelow,Thriller/Drama,A CIA analyst spends a decade pursuing leads on the whereabouts of Osama bin Laden culminating in the Navy SEAL raid on his Abbottabad compound in Bigelows meticulous procedural.,Oscar Sound Editing; 5 Oscar noms; MC 95; Chastain career-defining; torture debate; Bigelow precision; politically explosive; greatest thriller of the decade,"Academy Awards, Metacritic, Rotten Tomatoes, IndieWire"
20,The Act of Killing,2012,Joshua Oppenheimer,Documentary,Indonesian death squad leaders are invited to reenact their mass killings in the style of their favorite movie genres in Oppenheimers unprecedented documentary confrontation.,Sundance Director Documentary; RT 96 MC 89; Oppenheimer; genocide confrontation; perpetrators as auteurs; Herzog and Morris executive produced; documentary landmark,"Sundance Film Festival, Metacritic, Rotten Tomatoes, IndieWire"
21,How to Survive a Plague,2012,David France,Documentary,The early years of ACT UP and TAG and their fight to turn AIDS from a death sentence into a manageable condition are documented through extraordinary archival footage.,Oscar nom Documentary; RT 99 MC 83; France debut; AIDS activism history; archival documentary; ACT UP story definitive; politically vital; emotionally devastating,"Academy Awards, Metacritic, Rotten Tomatoes, IndieWire"
22,Fill the Void,2012,Rama Burshtein,Drama/Romance,An eighteen-year-old ultra-Orthodox woman in Tel Aviv is pressured to marry her deceased sisters husband in Burshteins intimate debut from within the Hasidic community.,Venice Volpi Best Actress (Yaron); Spirit Best First Screenplay; RT 89 MC 72; Burshtein insider perspective; arranged marriage; Yaron luminous; Israeli cinema gem,"Venice Film Festival, Independent Spirit Awards, Metacritic, Rotten Tomatoes"
23,A Royal Affair,2012,Nikolaj Arcel,Drama/History,A young queen her lovers affair with a progressive German physician and their radical reforms threaten the Danish court in Arcels sumptuous Enlightenment-era political drama.,Berlin Best Actor (Folsgaard) + Best Screenplay; Oscar nom Foreign Language; RT 88 MC 72; Mikkelsen Vikander; Danish history; court intrigue; Arcel debut,"Berlin Film Festival, Academy Awards, Metacritic, Rotten Tomatoes"
24,Sleepwalk with Me,2012,Mike Birbiglia,Comedy/Drama,A struggling comedian whose sleepwalking disorder worsens as he avoids confronting his failing relationship and career anxieties tours the country in Birbiglias autobiographical debut.,Sundance NEXT Audience; RT 93 MC 71; Birbiglia; Ira Glass produced; stand-up comedy and sleep disorder; charming and honest; This American Life spin-off,"Sundance Film Festival, Metacritic, Rotten Tomatoes, IndieWire"
25,Middle of Nowhere,2012,Ava DuVernay,Drama,A medical student puts her life on hold to support her incarcerated husband and slowly discovers her own identity in DuVernays quietly powerful character study.,Sundance Director Award (for DuVernay first Black woman to win); Spirit Cassavetes Award; RT 86 MC 76; DuVernay pre-Selma; Oyelowo; Black female interiority,"Sundance Film Festival, Independent Spirit Awards, Metacritic, Rotten Tomatoes"
26,War Witch,2012,Kim Nguyen,Drama/War,A fourteen-year-old girl abducted by rebel soldiers in sub-Saharan Africa and forced to fight as a child soldier is haunted by visions of the dead in Nguyens harrowing drama.,Berlin Best Actress (Mwanza); Oscar nom Foreign Language; RT 83 MC 70; Congolese child soldiers; Mwanza extraordinary non-professional; Canadian-African co-production,"Berlin Film Festival, Academy Awards, Metacritic, Rotten Tomatoes"
27,The House I Live In,2012,Eugene Jarecki,Documentary,The devastating impact of Americas War on Drugs on communities families and the prison system is exposed through personal stories and systemic analysis.,Sundance Grand Jury Documentary; RT 89 MC 72; Jarecki investigative documentary; mass incarceration; drug war history; David Simon appears; policy critique,"Sundance Film Festival, Metacritic, Rotten Tomatoes, IndieWire"
28,Wreck-It Ralph,2012,Rich Moore,Animation/Comedy,A video game villain tired of being the bad guy crashes into other games searching for a heroic role and discovers a glitch who needs his help in Disneys inventive animated adventure.,Oscar nom Animated Feature; Golden Globe nom; RT 87 MC 72; $471M on $165M; video game nostalgia; Disney Animation renaissance begins; Reilly Silverman,"Academy Awards, Metacritic, Rotten Tomatoes, Box Office Mojo"
29,Mud,2012,Jeff Nichols,Drama/Adventure,Two boys in Arkansas discover a fugitive hiding on a Mississippi River island and agree to help him reunite with his girlfriend in Nichols Twain-esque coming-of-age tale.,Cannes competition; RT 98 MC 76; McConaughey McConaissance continues; Nichols Americana; Tye Sheridan breakout; Southern Gothic; river mythology; Cannes hit,"Cannes Film Festival, Metacritic, Rotten Tomatoes, IndieWire"
30,The Master,2012,Paul Thomas Anderson,Drama,A traumatized WWII veteran falls under the spell of a charismatic cult leader and their volatile relationship becomes a battle of wills in PTAs mesmerizing character study.,Venice Silver Lion Director; Venice Volpi Best Actor (Hoffman & Phoenix); RT 86 MC 86; Phoenix Hoffman Adamsextraordinary; 70mm photography; Scientology parallels,"Venice Film Festival, Metacritic, Rotten Tomatoes, Sight and Sound"
31,The Hunt,2012,Thomas Vinterberg,Drama,A kindergarten teacher in a small Danish town is falsely accused of sexually abusing a child and watches his life destroyed by mass hysteria in Vinterbergs devastating moral drama.,Cannes Best Actor (Mikkelsen); MC 77 RT 93; Mikkelsen extraordinary; mob mentality anatomy; Vinterberg masterwork; Danish cinema landmark; agonizing to watch,"Cannes Film Festival, Metacritic, Rotten Tomatoes, Sight and Sound"
32,The Imposter,2012,Bart Layton,Documentary/Thriller,A French con artist who impersonated a missing Texas teenager is exposed but the familys willingness to accept him raises darker questions in Laytons gripping true-crime doc.,BAFTA nom Documentary; RT 95 MC 74; Layton debut; true-crime documentary as thriller; reconstruction technique; unreliable narrators; jaw-dropping revelations,"BAFTA, Metacritic, Rotten Tomatoes, IndieWire"
33,Barbara,2012,Christian Petzold,Drama/Thriller,An East German doctor banished to a provincial hospital in 1980 for applying for an exit visa plans her escape to the West while drawn into caring for her patients.,Berlin Silver Bear Director; RT 90 MC 85; Petzold Hoss; Berlin School finest; GDR surveillance; moral compromise; Nina Hoss luminous; escape and obligation,"Berlin Film Festival, Metacritic, Rotten Tomatoes, Sight and Sound"
34,Laurence Anyways,2012,Xavier Dolan,Drama/Romance,A literature professor comes out as transgender to her long-term girlfriend and their love is tested over a decade in Dolans ambitious emotionally extravagant epic.,TIFF Best Canadian Feature; Cannes Un Certain Regard; RT 82 MC 71; Dolan third feature at 23; Clement extraordinary; 168-minute runtime; Dolan ambition,"TIFF, Cannes Film Festival, Metacritic, Rotten Tomatoes"
35,Keep the Lights On,2012,Ira Sachs,Drama/Romance,A documentary filmmaker navigates a decade-long relationship with a closeted lawyer battling crack addiction in New York in Sachs unflinching autobiographical gay relationship drama.,Sundance Director Award Dramatic; Teddy Award Berlin; RT 85 MC 76; Sachs most personal; LGBTQ cinema; Booth extraordinary; decade-spanning structure,"Sundance Film Festival, Berlin Film Festival, Metacritic, Rotten Tomatoes"
36,Holy Motors,2012,Leos Carax,Drama/Fantasy,A man is driven by limousine to a series of mysterious appointments across Paris where he transforms into different characters in Caraxs surreal ecstatic ode to cinema and performance.,MC 85 RT 91; Lavant extraordinary; Carax long-awaited return; Sight and Sound poll favorite; pure cinema; motion capture sequence; accordion interlude; entr'acte as masterpiece,"Metacritic, Rotten Tomatoes, Sight and Sound, Cahiers du Cinema"
37,Tabu,2012,Miguel Gomes,Drama/Romance,A retired woman in Lisbon discovers that her enigmatic elderly neighbor lived a passionate secret life in colonial Africa in Gomes ravishing two-part meditation on memory and desire.,Berlin Alfred Bauer Prize; MC 79 RT 92; Murnau homage; colonial memory; black-and-white second half; Portuguese cinema revelation; formally audacious; Sight and Sound lists,"Berlin Film Festival, Metacritic, Rotten Tomatoes, Sight and Sound"
38,ParaNorman,2012,Sam Fell and Chris Butler,Animation/Horror,A boy who can speak with the dead must save his town from a centurys-old curse in Laikas delightfully macabre and surprisingly progressive stop-motion adventure.,Oscar nom Animated Feature; RT 89 MC 72; Laika artistry; zombie comedy for kids; LGBTQ representation; stop-motion craftsmanship; Butler debut,"Academy Awards, Metacritic, Rotten Tomatoes, Box Office Mojo"
39,Frankenweenie,2012,Tim Burton,Animation/Horror,A young boy brings his beloved dog back to life with electricity and his classmates attempt similar experiments with disastrous results in Burtons stop-motion homage to classic horror.,Oscar nom Animated Feature; RT 87 MC 74; Burton return to form; black-and-white stop-motion; Whale and Karloff homages; Tim Burton most personal,"Academy Awards, Metacritic, Rotten Tomatoes, Box Office Mojo"
40,Gimme the Loot,2012,Adam Leon,Comedy/Drama,Two teenage graffiti artists in the Bronx hustle to raise money to tag a legendary spot at Citi Field stadium in Leons vibrant micro-budget debut.,Spirit Someone to Watch Award; RT 87 MC 72; Leon debut; Bronx street life; hip-hop culture; micro-budget ingenuity; New York indie; SXSW premiere; effervescent,"Independent Spirit Awards, Metacritic, Rotten Tomatoes, IndieWire"
41,Starlet,2012,Sean Baker,Drama,A young woman befriends an elderly widow in the San Fernando Valley and their unlikely relationship deepens even as secrets threaten it in Bakers compassionate character study.,Spirit Robert Altman Award; RT 86 MC 73; Baker pre-Tangerine and Florida Project; sex work adjacent; Valley setting; Hemingway extraordinary; indie gem,"Independent Spirit Awards, Metacritic, Rotten Tomatoes, IndieWire"
42,The Deep,2012,Baltasar Kormakur,Drama/Thriller,An Icelandic fisherman survives six hours in freezing North Atlantic waters after his boat capsizes in Kormakurs remarkable true survival story.,Iceland Oscar submission; RT 88 MC 67; Kormakur; Icelandic national hero; survival against impossible odds; true story; Iceland landscape; understated heroism,"Metacritic, Rotten Tomatoes, IndieWire, Box Office Mojo"
43,Flight,2012,Robert Zemeckis,Drama,An airline pilot miraculously lands a malfunctioning plane saving nearly every soul aboard but the investigation threatens to expose his secret addiction.,Oscar nom Actor (Washington) + Original Screenplay; RT 78 MC 76; Washington powerful; Zemeckis return to live-action; addiction drama; crash sequence masterful,"Academy Awards, Metacritic, Rotten Tomatoes, Box Office Mojo"
44,The Perks of Being a Wallflower,2012,Stephen Chbosky,Drama/Comedy,A shy introverted freshman is taken under the wings of two charismatic seniors and discovers friendship music and belonging in Chboskys tender adaptation of his own novel.,Spirit Best First Feature; RT 86 MC 67; $107M on $13M; Watson Miller Lerman; tunnel scene iconic; coming-of-age perfection; YA literature adapted right,"Independent Spirit Awards, Metacritic, Rotten Tomatoes, Box Office Mojo"
45,Magic Mike,2012,Steven Soderbergh,Comedy/Drama,A veteran male stripper takes a young dancer under his wing and introduces him to the Tampa strip club scene in Soderberghs unexpectedly artful commercial sensation.,Spirit Supporting Male (McConaughey); RT 80 MC 72; $167M on $7M; 24x return; Tatum McConaughey; Soderbergh genre play; McConaissance peak; franchise launched,"Independent Spirit Awards, Metacritic, Rotten Tomatoes, Box Office Mojo"
46,The Queen of Versailles,2012,Lauren Greenfield,Documentary,A billionaire timeshare mogul and his trophy wife attempt to build the largest house in America as the 2008 financial crisis destroys their fortune.,Sundance Director Documentary; RT 93 MC 75; Greenfield; wealth and collapse; American Dream satire; Siegel family; recession documentary; revealing and absurd,"Sundance Film Festival, Metacritic, Rotten Tomatoes, IndieWire"
