Rank,Title,Year,Director,Primary_Genre,Synopsis,Major_Awards,Key_Sources
1,Roma,2018,Alfonso Cuaron,Drama,A domestic worker in 1970s Mexico City navigates personal upheaval against the backdrop of political turmoil in Cuarons deeply personal black-and-white masterpiece drawn from his own childhood memories.,Oscar Director + Foreign Language Film + Cinematography; Venice Golden Lion; BAFTA Film + Director + Cinematography; Golden Globe Director + Foreign + Screenplay; Spirit International; 10 Oscar noms; Cuaron shot his own film; first Netflix Best Director win; first Mexican Foreign Language winner,"Academy Awards, Venice, BAFTA, Golden Globes, Spirit Awards, Metacritic, Rotten Tomatoes"
2,Cold War,2018,Pawel Pawlikowski,Drama/Romance,Two passionate lovers from different backgrounds are swept up in the turmoil of Cold War Europe unable to live without each other yet unable to stay together in Pawlikowskis ravishing elliptical romance.,Cannes Best Director; Oscar noms Director + Cinematography + Foreign; BAFTA Foreign; RT 93 MC 92; Pawlikowski Ida follow-up; black and white; Kulig Kot; Polish jazz; 15-year love story in 88 minutes,"Cannes Film Festival, Academy Awards, BAFTA, Metacritic, Rotten Tomatoes"
3,Shoplifters,2018,Hirokazu Kore-eda,Drama/Crime,A makeshift family of petty thieves in Tokyo takes in a young girl they find shivering on a balcony gradually revealing the fragile bonds and devastating secrets that hold them together in Kore-edas sublime portrait of chosen family.,Cannes Palme dOr; Oscar nom Foreign Language; RT 99 MC 90; Kore-eda crowning achievement; Sakura Ando Lily Franky; found family; Japanese poverty; Kore-eda humanist cinema,"Cannes Film Festival, Academy Awards, Metacritic, Rotten Tomatoes"
4,BlacKkKlansman,2018,Spike Lee,Drama/Comedy,A Black police officer in 1970s Colorado Springs successfully infiltrates the local Ku Klux Klan chapter with the help of a Jewish colleague in Lees incendiary true-story satire that connects past racism to present.,Oscar Adapted Screenplay; Cannes Grand Prix; 6 Oscar noms including Picture Director; Spike Lee first competitive Oscar; Washington Jr Driver; Lee masterful tonal balance; Charlottesville coda devastating,"Academy Awards, Cannes Film Festival, Metacritic, Rotten Tomatoes"
5,Green Book,2018,Peter Farrelly,Drama/Comedy,An Italian-American bouncer from the Bronx is hired to drive a Black classical pianist on a concert tour through the segregated Deep South in 1962 in Farrellys crowd-pleasing true-story road trip.,Oscar Best Picture + Original Screenplay + Supporting Actor (Ali); TIFF Peoples Choice; Golden Globe Comedy; Ali second Oscar in 3 years (Moonlight then Green Book); controversy over white savior narrative; $321M worldwide; Mortensen Ali chemistry,"Academy Awards, TIFF, Golden Globes, Metacritic, Rotten Tomatoes, Box Office Mojo"
6,If Beale Street Could Talk,2018,Barry Jenkins,Drama/Romance,A young Harlem couple navigates an unjust legal system after the man is falsely accused of a crime while the woman carries their first child in Jenkins luminous adaptation of James Baldwins novel.,Oscar Supporting Actress (Regina King); Spirit Best Feature + Director + Supporting Female; RT 95 MC 87; Jenkins Moonlight follow-up; Baldwin adaptation; KiKi Layne Stephan James; Nicholas Britell score; Harlem golden light,"Academy Awards, Spirit Awards, Metacritic, Rotten Tomatoes"
7,Capernaum,2018,Nadine Labaki,Drama,A twelve-year-old Lebanese boy sues his parents for the crime of giving him life in Labakis wrenching Dickensian portrait of childhood poverty in the streets of Beirut.,Cannes Jury Prize; Oscar nom Foreign Language; RT 86 MC 75; Zain Al Rafeea non-pro; Labaki Beirut; child poverty; Syrian refugee crisis; courtroom frame; Labaki empathy; devastating and tender,"Cannes Film Festival, Academy Awards, Metacritic, Rotten Tomatoes"
8,Vice,2018,Adam McKay,Drama/Comedy,The epic untold story of Dick Cheneys quiet ruthless ascent to become the most powerful Vice President in American history in McKays provocative formally audacious political satire.,Oscar Makeup and Hairstyling; 8 noms including Picture Actor Director; Golden Globe Actor Comedy (Bale); RT 66 MC 61; Bale unrecognizable physical transformation; McKay Big Short follow-up; Adams Rockwell; fourth wall breaking; divisive,"Academy Awards, Golden Globes, Metacritic, Rotten Tomatoes"
9,The Favourite,2018,Yorgos Lanthimos,Comedy/Drama,Two cousins compete for the affections and political influence of Queen Anne in early 18th-century England in Lanthimos wickedly funny razor-sharp period comedy about power intimacy and manipulation.,Oscar Actress (Colman); Venice Grand Jury Prize + Actress; BAFTA Outstanding British Film + Original Screenplay; Golden Globe Actress Comedy; 10 Oscar noms; Colman Stone Weisz extraordinary trio; Lanthimos mainstream breakthrough,"Academy Awards, Venice, BAFTA, Golden Globes, Metacritic, Rotten Tomatoes"
10,Never Look Away,2018,Florian Henckel von Donnersmarck,Drama/Biography,A young art student in postwar Germany grapples with his traumatic past under both the Nazi and East German regimes in von Donnersmarcks sweeping epic inspired by the life of Gerhard Richter.,Oscar noms Foreign Language + Cinematography; RT 78 MC 63; von Donnersmarck Lives of Others director; Richter-inspired; German postwar art; Tom Schilling; three hours; art and trauma; spanning decades; ambitious epic,"Academy Awards, Metacritic, Rotten Tomatoes"
11,First Reformed,2018,Paul Schrader,Drama,A tormented pastor at a small upstate New York church spirals toward radical action after counseling an environmental activist in Schraders austere late-career masterwork about faith despair and ecological catastrophe.,Spirit Best Male Lead (Hawke); Oscar nom Original Screenplay; RT 93 MC 85; Hawke career-best; Schrader Taxi Driver echoes; Bergman Bresson Dreyer; environmental theology; Hawke Oscar snub controversy; A24,"Spirit Awards, Academy Awards, Metacritic, Rotten Tomatoes"
12,The Wife,2018,Bjorn Runge,Drama,A wife begins to question her life choices as she accompanies her husband to Stockholm where he is set to receive the Nobel Prize for Literature in Runges slow-burn character study of sacrifice and resentment.,Golden Globe Actress Drama (Glenn Close); Oscar nom Actress; Spirit Female Lead; RT 83 MC 66; Close seventh Oscar nom (record at time); Close powerhouse; literary deception; marriage and ambition; Close should-have-won campaign,"Golden Globes, Academy Awards, Spirit Awards, Metacritic, Rotten Tomatoes"
13,Spider-Man: Into the Spider-Verse,2018,Bob Persichetti/Peter Ramsey/Rodney Rothman,Animation/Action,A Brooklyn teenager bitten by a radioactive spider encounters multiple Spider-People from parallel dimensions in this wildly inventive animated revolution that redefined what superhero cinema could look like.,Oscar Animated Feature; Golden Globe Animated; Annie Award; RT 97 MC 87; first non-Disney/Pixar Animated Oscar since Rango; Shameik Moore; visual revolution; comic book aesthetic; Miles Morales; groundbreaking animation,"Academy Awards, Golden Globes, Metacritic, Rotten Tomatoes"
14,Of Fathers and Sons,2018,Talal Derki,Documentary,A filmmaker returns to his homeland in Syria and embeds with a radical Islamist family documenting how a father grooms his young sons for jihad in this chilling unprecedented observational documentary.,Oscar nom Documentary; Sundance World Cinema Documentary; RT 98 MC 79; Derki unprecedented access; Syria Al-Nusra Front; radicalization; children; Sundance Grand Jury; dangerous filmmaking; urgent and horrifying,"Academy Awards, Sundance Film Festival, Metacritic, Rotten Tomatoes"
15,Touch Me Not,2018,Adina Pintilie,Drama,People with physical and emotional intimacy issues explore the boundaries of their bodies and desires in Pintilies challenging boundary-pushing hybrid of documentary and fiction.,Berlin Golden Bear; RT 27 MC 47; most controversial Bear winner in years; Pintilie debut; intimacy and disability; body positivity; documentary-fiction hybrid; polarizing; Berlin jury divisive choice; confrontational; provoked walkouts,"Berlin Film Festival, Metacritic, Rotten Tomatoes"
16,Free Solo,2018,Elizabeth Chai Vasarhelyi/Jimmy Chin,Documentary,Rock climber Alex Honnold prepares to achieve his lifelong dream of climbing the face of El Capitan in Yosemite without a rope in this heart-stopping Academy Award-winning chronicle of human determination.,Oscar Best Documentary; TIFF Doc Peoples Choice; BAFTA Documentary; RT 97 MC 83; Honnold El Capitan; 3000 feet no rope; palm-sweating cinema; Vasarhelyi Chin; climbing community; vertigo-inducing photography,"Academy Awards, TIFF, BAFTA, Metacritic, Rotten Tomatoes"
17,Border,2018,Ali Abbasi,Drama/Fantasy,A customs officer with an uncanny ability to smell human emotions discovers a kindred spirit who challenges everything she knows about herself in Abbasis startling genre-defying Scandinavian fable.,Cannes Un Certain Regard; Oscar nom Makeup; RT 97 MC 76; Abbasi Swedish-Iranian; troll mythology; identity transformation; John Ajvide Lindqvist story (Let the Right One In author); Cannes sensation; boundary-pushing,"Cannes Film Festival, Academy Awards, Metacritic, Rotten Tomatoes"
