Rank,Title,Year,Director,Primary_Genre,Synopsis,Major_Awards,Key_Sources
1,Anora,2024,Sean Baker,Comedy/Drama,A young sex worker from Brooklyn marries the son of a Russian oligarch only for his family to descend to annul the union in Bakers electrifying Palme dOr winner.,Cannes Palme dOr; 5 Oscars (Picture Director Actress Original Screenplay Editing); BAFTA Actress Casting Editing; Golden Globe Actress Comedy; Spirit Feature Director Lead; MC 94 RT 97; Mikey Madison breakout,"Academy Awards, Cannes, BAFTA, Golden Globes, Spirit Awards, Metacritic, Rotten Tomatoes"
2,Nickel Boys,2024,RaMell Ross,Drama,Two boys at a brutal Florida reform school in the Jim Crow era forge a bond that will sustain them through unimaginable hardship in Ross revolutionary first-person POV adaptation.,5 Oscar noms (Picture Adapted Screenplay Cinematography Editing); Golden Globe nom; RT 95 MC 81; Ross documentary filmmaker debut; Colson Whitehead Pulitzer novel; subjective camera; radical form; Amazon MGM,"Academy Awards, Golden Globes, Metacritic, Rotten Tomatoes"
3,Emilia Perez,2024,Jacques Audiard,Musical/Crime,A lawyer helps a feared cartel leader transition and start a new life as a woman in Audiards audacious genre-defying musical that became the most nominated non-English film in Oscar history.,Cannes Jury Prize + Best Actress (collective) + Soundtrack; 2 Oscars (Supporting Actress International Feature); 13 noms (record non-English); Golden Globe 4 wins (Comedy Intl Supporting Actress Song); Zoe Saldana Karla Sofia Gascon; trans representation debate,"Academy Awards, Cannes, Golden Globes, BAFTA, Metacritic, Rotten Tomatoes"
4,Flow,2024,Gints Zilbalodis,Animation/Adventure,A solitary cat navigates a world transformed by a great flood alongside a capybara a bird a dog and a lemur in Zilbalodis wordless animated masterwork about survival and connection.,Oscar Animated Feature; Golden Globe Animated; Spirit Best International (first animated winner); 5 Oscar noms; RT 96 MC 87; Latvian; Zilbalodis virtually solo creator; no dialogue; $40M worldwide; hand-crafted indie animation triumph,"Academy Awards, Golden Globes, Spirit Awards, Metacritic, Rotten Tomatoes"
5,The Room Next Door,2024,Pedro Almodovar,Drama,A war correspondent and a novelist reunite as one prepares to face death on her own terms in Almodovars first English-language feature and Venice Golden Lion winner.,Venice Golden Lion (Almodovar first competitive Lion); RT 94 MC 82; Tilda Swinton Julianne Moore John Turturro; Almodovar first English film; euthanasia; friendship and mortality; luminous,"Venice, Metacritic, Rotten Tomatoes"
6,Dahomey,2024,Mati Diop,Documentary,The return of royal treasures from France to Benin becomes a meditation on colonial restitution and African identity in Diops formally daring documentary.,Berlin Golden Bear (consecutive doc Bear winner); RT 95 MC 82; Diop Atlantics follow-up; Senegalese-French; colonial plunder; Benin; repatriation debate; MUBI,"Berlin, Metacritic, Rotten Tomatoes"
7,The Seed of the Sacred Fig,2024,Mohammad Rasoulof,Drama/Thriller,An investigating judge for the Revolutionary Court sees his family fracture around the 2022 Iranian protests in Rasoulofs searing political drama made at enormous personal risk.,Cannes Special Prize; Oscar nom International Feature (Germany); BAFTA nom; Golden Globe nom; RT 98 MC 86; Rasoulof fled Iran after sentencing; risked imprisonment; family as state microcosm; essential political cinema,"Cannes, Academy Awards, BAFTA, Golden Globes, Metacritic, Rotten Tomatoes"
8,All We Imagine as Light,2024,Payal Kapadia,Drama,Two Malayali nurses in Mumbai navigate love loneliness and desire as their lives intersect in Kapadias poetic coming-of-age that made history at Cannes.,Cannes Grand Prix (first Indian film to win major Cannes prize in 30 years); RT 94 MC 86; Kapadia debut fiction; Malayalam-language; Mumbai to Kerala; feminist; lyrical; Janus Films,"Cannes, Metacritic, Rotten Tomatoes"
9,Im Still Here,2024,Walter Salles,Drama,A woman struggles to hold her family together after her husband is taken by the military dictatorship in Salles devastating Brazilian drama set during the 1970s political repression.,Oscar International Feature + Best Picture nom; Venice Screenplay; Golden Globe Actress Drama (Fernanda Torres); BAFTA noms; Torres extraordinary; Salles Motorcycle Diaries director; Brazilian history; Portuguese-language Best Picture nom historic,"Academy Awards, Venice, Golden Globes, BAFTA, Metacritic, Rotten Tomatoes"
10,The Brutalist,2024,Brady Corbet,Drama,A visionary Hungarian-Jewish architect immigrates to America after WWII and is commissioned by a wealthy industrialist in Corbets monumental three-and-a-half-hour epic about art ambition and power.,Venice Silver Lion; 3 Oscars (Director Actor Original Score); 10 noms; BAFTA 4 wins (Director Actor Cinematography Production Design); Golden Globe Drama Director; Adrien Brody Guy Pearce Felicity Jones; Corbet directorial triumph,"Academy Awards, Venice, BAFTA, Golden Globes, Metacritic, Rotten Tomatoes"
11,Souleymanes Story,2024,Boris Lojkine,Drama,A Guinean asylum seeker prepares for his crucial hearing while working as a delivery rider in Paris in Lojkines empathetic portrait of the refugee experience.,Cannes Un Certain Regard Jury Prize; RT 93 MC 76; Abou Sangare non-actor; Paris; immigration; delivery economy; neorealist; Kino Lorber,"Cannes, Metacritic, Rotten Tomatoes"
