Rank,Title,Year,Director,Primary_Genre,Synopsis,Major_Awards,Key_Sources
1,All About My Mother,1999,Pedro Almodovar,Drama,A grieving nurse travels to Barcelona after her sons death encountering transgender women nuns and actresses in a world of resilience and reinvention.,Oscar Best Foreign Language Film; Golden Globe Best Foreign Film; BAFTA Best Direction + Best Foreign Film; Cannes Best Director; MC 90 RT 96%; Sight & Sound poll,"Academy Awards Database, Cannes Film Festival, BAFTA, Metacritic"
2,American Beauty,1999,Sam Mendes,Drama/Satire,A suburban father in the throes of midlife crisis rebels against his sterile existence pursuing his daughters classmate while his family disintegrates.,5 Oscars incl Best Picture Director Actor (Spacey) Screenplay Cinematography; BAFTA Best Film; Golden Globe Best Drama; SAG wins; MC 84 RT 88%; $356M worldwide,"Academy Awards Database, Golden Globes, BAFTA, Box Office Mojo"
3,Magnolia,1999,Paul Thomas Anderson,Drama,An interconnected ensemble in the San Fernando Valley navigates coincidence regret and desperate need for connection over one extraordinary day ending with a biblical event.,3 Oscar noms incl Supporting Actor (Cruise); Berlin Golden Bear; Golden Globe Supporting Actor; Roger Eberts #1 of 1999; MC 78; PTA masterwork,"Academy Awards Database, Berlin Film Festival, Golden Globes, Roger Ebert"
4,Topsy-Turvy,1999,Mike Leigh,Drama/Musical,The turbulent creative partnership of Gilbert and Sullivan during the creation of The Mikado exploring the agonies and ecstasies of artistic collaboration.,2 Oscars (Costume Design Makeup); 4 noms; NYFCC Best Film + Director; Venice Volpi Cup Best Actor; MC 90 RT 95%; Criterion Collection,"Academy Awards Database, Venice Film Festival, Metacritic, Criterion Collection"
5,The Sixth Sense,1999,M. Night Shyamalan,Thriller/Drama,A child psychologist tries to help a young boy who claims to see dead people leading to one of cinemas most famous twist endings.,6 Oscar noms incl Best Picture and Director; $672.8M worldwide; cultural phenomenon; MC 64 RT 86%; Bruce Willis finest dramatic performance,"Academy Awards Database, Box Office Mojo, Metacritic, Rotten Tomatoes"
6,Being John Malkovich,1999,Spike Jonze,Comedy/Fantasy,A puppeteer discovers a portal behind a filing cabinet that leads directly into the mind of actor John Malkovich sparking surreal existential chaos.,3 Oscar noms; BAFTA Best Screenplay; Spirit Best First Feature + Screenplay; NSFC Best Film; MC 90 RT 94%; Criterion; paradigm-shifting debut for Kaufman and Jonze,"Academy Awards Database, Independent Spirit Awards, Metacritic, Criterion Collection"
7,Rosetta,1999,"Jean-Pierre Dardenne, Luc Dardenne",Drama,A desperate Belgian teenager fights relentlessly to find and keep a job while living in a trailer with her alcoholic mother.,Palme dOr Cannes 1999; Best Actress Cannes (Emilie Dequenne); Spirit nom; led to Belgiums Rosetta law; Criterion; Dardenne brothers breakthrough,"Cannes Film Festival, Independent Spirit Awards, Criterion Collection, Sight & Sound"
8,Boys Don't Cry,1999,Kimberly Peirce,Drama/Biography,Based on the true story of Brandon Teena a transgender man navigating love and identity in rural Nebraska whose secret leads to devastating violence.,Oscar Best Actress (Hilary Swank); Oscar nom Supporting Actress (Sevigny); Golden Globe + SAG + Spirit wins; MC 86 RT 89%; LGBTQ cinema landmark; Criterion,"Academy Awards Database, Golden Globes, Independent Spirit Awards, Criterion Collection"
9,The Straight Story,1999,David Lynch,Drama/Biography,A 73-year-old Iowa man rides his lawn mower 240 miles to visit his estranged ailing brother in this tender true story.,Oscar nom Best Actor (Richard Farnsworth); Spirit noms; NYFCC Best Actor; Cannes Competition; MC 86 RT 95%; Ebert 4 stars; Lynchs most gentle film; Criterion,"Academy Awards Database, Cannes Film Festival, Metacritic, Criterion Collection"
10,The Talented Mr. Ripley,1999,Anthony Minghella,Thriller/Drama,A charming young sociopath sent to 1950s Italy becomes consumed with envy of a wealthy playboys glamorous life and assumes his identity through murder.,5 Oscar noms; BAFTA Supporting Actor (Jude Law) + 7 noms; Golden Globe noms; MC 76 RT 83%; Matt Damon Jude Law Cate Blanchett Gwyneth Paltrow,"Academy Awards Database, BAFTA, Golden Globes, Metacritic"
11,Jesus Son,1999,Alison Maclean,Drama,A drifting young man wanders through the 1970s Midwest in a haze of drugs petty crime and fleeting moments of grace in this Denis Johnson adaptation.,Venice OCIC Award + Little Golden Lion; Billy Crudup stunning lead; spiritual luminous storytelling; cult status,"Venice Film Festival, Metacritic, Letterboxd, Rotten Tomatoes"
12,The Insider,1999,Michael Mann,Drama/Thriller,A tobacco company whistleblower and a 60 Minutes producer risk everything to expose Big Tobacco facing enormous personal and professional consequences.,7 Oscar noms incl Best Picture; LAFCA Best Film + Actor + Supporting Actor; NSFC Best Actor; MC 84 RT 96%; Ebert 4 stars; Russell Crowe star-making American role,"Academy Awards Database, Metacritic, Roger Ebert, Rotten Tomatoes"
