Rank,Title,Year,Director,Primary_Genre,Synopsis,Major_Awards,Key_Sources
1,Close to Eden,1992,Nikita Mikhalkov,Comedy/Drama,A Russian truck driver and a Mongolian nomad form a cross-cultural friendship (wider 1992 release in many markets).,Golden Lion (Venice 1991); Spirit: Best International Film; Oscar nom,"Venice, Spirit Awards, Oscars, Criterion Collection"
2,Howards End,1992,James Ivory,Period Drama,Two families' fates intertwine around a country estate exploring class inheritance and morality in Edwardian England.,3 Oscars: Best Actress (Thompson)/Adapted Screenplay/Art Direction; BAFTA: Best Film; 9 Oscar noms total,"Oscars, BAFTA, Golden Globes, Spirit Awards, Criterion Collection, Metacritic"
3,The Best Intentions,1992,Bille August,Drama,Ingmar Bergman scripted this intimate portrait of his parents' turbulent courtship and marriage in early 20th-century Sweden.,Palme d'Or (Cannes 1992); Best Actress (Pernilla August - Cannes),"Cannes, Letterboxd"
4,The Story of Qiu Ju,1992,Zhang Yimou,Drama,A pregnant peasant woman stubbornly pursues justice through China's bureaucratic legal system after her husband is kicked by the village chief.,Golden Lion (Venice 1992); Zhang Yimou's second masterwork in one year,"Venice, Letterboxd, Criterion Collection"
5,The Crying Game,1992,Neil Jordan,Thriller/Drama,An IRA operative's conscience leads him into an unexpected relationship that shatters every assumption about identity and desire.,Oscar: Best Original Screenplay; 6 Oscar noms; BAFTA: Best British Film; Spirit: Best International Film,"Oscars, BAFTA, Spirit Awards, Golden Globes, Criterion Collection"
6,Unforgiven,1992,Clint Eastwood,Western/Drama,An aging outlaw emerges from retirement for one final job confronting the violence mortality and myth of the American West.,4 Oscars: Best Picture/Director/Supporting Actor (Hackman)/Editing; Golden Globe noms; BAFTA noms,"Oscars, Golden Globes, BAFTA, Metacritic, RT (96%), Roger Ebert, Sight & Sound"
7,The Stolen Children,1992,Gianni Amelio,Social Drama,A young carabiniere escorts two abandoned siblings across Italy in a road film of extraordinary tenderness and social conscience.,Cannes Grand Prix; Italian neorealist successor; Criterion Collection,"Cannes, Criterion Collection, Letterboxd"
8,The Player,1992,Robert Altman,Satire/Thriller,A Hollywood studio executive receives death threats and commits murder in Altman's savage razor-sharp industry satire.,Cannes: Best Director; Golden Globe: Best Film Comedy/Director; BAFTA: Best Director/Screenplay; Spirit: Best Feature,"Cannes, Golden Globes, BAFTA, Spirit Awards, Oscars, Criterion Collection"
9,Dream of Light,1992,Víctor Erice,Documentary/Art,Erice observes painter Antonio López García attempting to capture the light of a quince tree in this meditative masterwork.,Cannes Jury Prize; FIPRESCI Prize; Criterion Collection; contemplative cinema landmark,"Cannes, Criterion Collection, Letterboxd, Sight & Sound"
10,Chaplin,1992,Richard Attenborough,Biography/Drama,Robert Downey Jr. delivers a transformative performance as Charlie Chaplin from poverty to genius to exile.,Oscar nom: Best Actor (Downey Jr.); BAFTA: Best Actor; 3 Oscar noms total,"Oscars, BAFTA, Golden Globes, Metacritic"
11,Malcolm X,1992,Spike Lee,Biography/Drama,Denzel Washington commands a sweeping three-hour epic charting Malcolm X's transformation from street hustler to revolutionary leader.,2 Oscar noms; Golden Globe nom; Denzel Washington tour-de-force; cultural landmark,"Oscars, Golden Globes, BAFTA, Box Office Mojo, Metacritic"
12,A Few Good Men,1992,Rob Reiner,Legal Drama/Thriller,Navy lawyers uncover a military cover-up at Guantanamo Bay in Aaron Sorkin's electrifying courtroom drama.,4 Oscar noms; Golden Globe noms; $243M worldwide; iconic Nicholson confrontation,"Oscars, Golden Globes, Box Office Mojo, CinemaScore (A+)"
13,Scent of a Woman,1992,Martin Brest,Drama,A blind retired Army colonel takes a prep school cadet on a last fling through New York teaching him about courage and living.,Oscar: Best Actor (Al Pacino); Golden Globe: Best Drama Film and Actor; 4 Oscar noms,"Oscars, Golden Globes, Box Office Mojo, CinemaScore (A-)"
14,Europa Europa,1992,Agnieszka Holland,Drama,A Jewish boy survives WWII by posing as an Aryan and infiltrating the Hitler Youth (wider 1992 release in many markets).,Golden Globe: Best Foreign Language Film; Oscar controversially excluded; Spirit nom,"Golden Globes, Spirit Awards, Letterboxd"
15,Fried Green Tomatoes,1992,Jon Avnet,Drama,An elderly woman inspires a depressed housewife with tales of legendary female friendship and liberation in 1930s Alabama. (wider 1992 release),3 Oscar noms; BAFTA noms; Kathy Bates and Jessica Tandy,"Oscars, BAFTA, Box Office Mojo"
