Rank,Title,Year,Director,Primary_Genre,Synopsis,Major_Awards,Key_Sources
1,The Social Network,2010,David Fincher,Drama,The founding of Facebook is dramatized as a tale of genius betrayal and loneliness as Mark Zuckerberg builds a billion-dollar empire while losing his only friend in Finchers cold perfect masterwork.,3 Oscars (Adapted Screenplay Editing Score); Golden Globe Picture Drama + Director + Screenplay + Score; BAFTA Director; 8 Oscar noms; RT 96 MC 95; $224M on $40M; Sorkins screenplay definitive,"Academy Awards, Golden Globes, BAFTA, Metacritic"
2,The Kings Speech,2010,Tom Hooper,Drama/Biography,King George VI works with an unorthodox Australian speech therapist to overcome his stammer as Britain faces World War II in Hoopers crowd-pleasing prestige triumph.,4 Oscars (Picture Director Actor Original Screenplay); TIFF Peoples Choice; DGA; PGA; SAG Ensemble; BAFTA; RT 95 MC 88; $427M on $15M; Firth and Rush magnificent,"Academy Awards, TIFF, DGA, PGA, SAG, BAFTA, Metacritic"
3,Black Swan,2010,Darren Aronofsky,Thriller/Drama,A ballerina driven to perfection for the lead in Swan Lake descends into madness as the boundary between performance and psychosis dissolves in Aronofskys feverish body horror masterwork.,Oscar Best Actress (Portman); Venice Mastroianni Award (Kunis); Spirit Best Feature + Director; 5 Oscar noms; RT 85 MC 79; $329M on $13M; 25x return; Portman transcendent,"Academy Awards, Venice Film Festival, Independent Spirit Awards, Metacritic"
4,True Grit,2010,Joel Coen and Ethan Coen,Western/Adventure,A 14-year-old girl hires a drunken U.S. Marshal to track down her fathers killer across Indian Territory in the Coens magnificent revisionist Western.,10 Oscar noms (Picture Director Actor); RT 96 MC 80; $252M on $38M; 6.6x return; Bridges Steinfeld Damon; Deakins cinematography; Portis novel honored; Steinfeld breakout,"Academy Awards, Metacritic, Rotten Tomatoes, Box Office Mojo"
5,Uncle Boonmee Who Can Recall His Past Lives,2010,Apichatpong Weerasethakul,Drama/Fantasy,A dying man in rural Thailand is visited by the ghosts of his wife and lost son who has become a monkey spirit in Weerasethakuls luminous meditation on death memory and reincarnation.,Cannes Palme dOr; RT 90 MC 84; $2.8M; Thai cinema masterpiece; formally unprecedented; catfish sex scene; monkey ghosts; cinema as spiritual experience; deeply influential,"Cannes Film Festival, Metacritic, Rotten Tomatoes, Sight and Sound"
6,The Kids Are All Right,2010,Lisa Cholodenko,Drama/Comedy,Two children of a lesbian couple seek out their biological sperm-donor father disrupting their mothers comfortable marriage in Cholodenkos sharp LGBTQ family drama.,Oscar noms (Picture Actress Original Screenplay); Golden Globe Comedy; Spirit nom; RT 93 MC 86; $35M on $4M; Bening Moore Ruffalo; groundbreaking representation,"Academy Awards, Golden Globes, Independent Spirit Awards, Metacritic"
7,The Fighter,2010,David O. Russell,Drama/Biography,A boxer from a tight-knit working-class family fights for a championship while battling his half-brothers drug addiction and his overbearing mothers interference.,2 Oscars (Supporting Actor Bale + Supporting Actress Leo); 7 Oscar noms including Picture Director; RT 91 MC 79; $129M on $25M; Bale physical transformation; Wahlberg steady,"Academy Awards, Metacritic, Rotten Tomatoes, Box Office Mojo"
8,Somewhere,2010,Sofia Coppola,Drama,A Hollywood actor living at the Chateau Marmont has his empty glamorous existence disrupted when his eleven-year-old daughter comes to stay in Coppolas meditative portrait of ennui.,Venice Golden Lion; RT 72 MC 65; $14M on $7M; Dorff and Fanning; Coppola most minimal; celebrity emptiness; pole-dancing ice-skating sequences; divisive Venice win,"Venice Film Festival, Metacritic, Rotten Tomatoes, Box Office Mojo"
9,Winter's Bone,2010,Debra Granik,Drama/Thriller,A teenage girl in the Ozarks must find her missing methamphetamine-dealing father or lose the family home in Graniks unflinching survival drama that launched Jennifer Lawrence.,Sundance Grand Jury Prize; 4 Oscar noms (Picture Actress Adapted Screenplay Supporting Actor); RT 94 MC 90; $16M on $2M; Lawrence breakout; Hawkes terrifying; Ozark gothic,"Sundance Film Festival, Academy Awards, Metacritic, Rotten Tomatoes"
10,Of Gods and Men,2010,Xavier Beauvois,Drama,French Trappist monks in Algeria debate whether to flee or stay as Islamic fundamentalist violence closes in on their monastery in Beauvois profoundly moving true story.,Cannes Grand Prix; César Best Film; RT 90 MC 78; $47M on $4.3M; Last Supper sequence devastating; Lambert Wilson leads; faith tested under threat of death,"Cannes Film Festival, César Awards, Metacritic, Rotten Tomatoes"
