Rank,Title,Year,Director,Primary_Genre,Synopsis,Major_Awards,Key_Sources
1,One Battle After Another,2025,Paul Thomas Anderson,Drama,Epic adaptation of Thomas Pynchon's Vineland following interconnected lives across decades of American counterculture and political upheaval.,Won 6 Oscars incl. Best Picture/Director/Adapted Screenplay/Supporting Actor/Editing/Casting; 13 total noms; BAFTA Best Film; Critics Choice Best Picture,Wikipedia 98th Academy Awards; 2025 in film
2,The Secret Agent,2025,Kleber Mendonca Filho,Thriller,A sprawling Brazilian political thriller based on Joseph Conrad's novel reimagined through the lens of contemporary South American intrigue.,Won Best Director and Best Actor (Wagner Moura) at Cannes; FIPRESCI Prize; 4 Oscar noms; Critics Choice Best Foreign Language,Wikipedia 78th Cannes Film Festival; 98th Academy Awards
3,Sinners,2025,Ryan Coogler,Horror,Twin brothers return to their Deep South hometown and open a juke joint only to discover ancient evil lurking beneath the region's troubled history.,Won 4 Oscars incl. Best Actor (Michael B. Jordan)/Original Screenplay/Cinematography/Original Score; record 16 nominations; $280M domestic,Wikipedia 98th Academy Awards; Box Office Mojo
4,Sentimental Value,2025,Joachim Trier,Drama,A Norwegian family gathers to settle an inheritance and confronts buried emotional truths that threaten to reshape their bonds forever.,Won Best International Feature Film Oscar; Grand Prix at Cannes; 9 Oscar noms; BAFTA Best Foreign Language Film,Wikipedia 98th Academy Awards; 78th Cannes Film Festival
5,Hamnet,2025,Chloe Zhao,Drama,In Elizabethan England the wife and children of William Shakespeare grapple with grief and the devastating loss of the playwright's young son Hamnet.,Won Best Actress Oscar (Jessie Buckley); TIFF People's Choice Award; Golden Globe Best Drama; 8 Oscar noms,Wikipedia 98th Academy Awards; 2025 in film
6,Once Upon a Time in Gaza,2025,Tarzan and Arab Nasser,Drama,Palestinian filmmakers capture life and resilience in Gaza through intertwined stories of ordinary people facing extraordinary circumstances.,Won Best Director Un Certain Regard at Cannes,Wikipedia 78th Cannes Film Festival
7,The Little Sister,2025,Hafsia Herzi,Drama,A young French-Algerian woman navigates her identity and sexuality while growing up as the youngest in a traditional family.,Won Best Actress at Cannes (Nadia Melliti); Queer Palm; Cannes Competition,Wikipedia 78th Cannes Film Festival
8,I Only Rest in the Storm,2025,Pedro Pinho,Drama,A Portuguese drama exploring restlessness and the search for peace in turbulent personal and political times.,Won Best Actress Un Certain Regard at Cannes (Cleo Diara); Queer Palm nominee,Wikipedia 78th Cannes Film Festival
9,Pillion,2025,Harry Lighton,Drama,A British drama exploring an intense relationship and the freedom found on the back of a motorcycle.,Won Best Screenplay Un Certain Regard at Cannes; Queer Palm nominee,Wikipedia 78th Cannes Film Festival
10,Highest 2 Lowest,2025,Spike Lee,Crime,Spike Lee reimagines Akira Kurosawa's High and Low as a contemporary American crime drama examining class and justice.,Cannes Out of Competition; Denzel Washington received Honorary Palme d'Or at premiere,Wikipedia 78th Cannes Film Festival
