Rank,Title,Year,Director,Primary_Genre,Synopsis,Major_Awards,Key_Sources,Favorite,Watchlist,Rating,RatingTimestamp
1,The Shape of Water,2017,Guillermo del Toro,Fantasy/Romance,A mute cleaning woman in a secret government laboratory forms a profound bond with an amphibian creature held captive during the Cold War in del Toros enchanting fairy tale for adults.,Oscar Best Picture + Director + Score (Desplat) + Production Design; Venice Golden Lion; Golden Globe Director; 13 Oscar noms; BAFTA Director; RT 92 MC 87; del Toro genre filmmaking vindicated,"Academy Awards, Venice, Golden Globes, BAFTA, Metacritic, Rotten Tomatoes",,1,,
2,Lady Bird,2017,Greta Gerwig,Comedy/Drama,A headstrong Sacramento teenager navigates her senior year of high school clashing with her mother while yearning for a more glamorous life in Gerwigs luminous autobiographical directorial debut.,5 Oscar noms (Picture Director Actress Screenplay Supporting Actress); Golden Globe Comedy; Spirit Screenplay; RT 99 MC 94; Gerwig first woman Best Director nom in 8 years (since Bigelow); Ronan Metcalf extraordinary,"Academy Awards, Golden Globes, Spirit Awards, Metacritic, Rotten Tomatoes",,1,,
3,Three Billboards Outside Ebbing Missouri,2017,Martin McDonagh,Drama/Comedy,A grieving mother rents three billboards to challenge the local police over the unsolved murder of her daughter in McDonaghs provocative darkly funny examination of rage and redemption.,Oscar Actress (McDormand) + Supporting Actor (Rockwell); TIFF Peoples Choice; Venice Screenplay; Golden Globe Drama; BAFTA Film; RT 89 MC 88; McDormand towering; Rockwell transformed,"Academy Awards, TIFF, Venice, Golden Globes, BAFTA, Metacritic, Rotten Tomatoes",,1,,
4,Get Out,2017,Jordan Peele,Horror/Thriller,A young Black man uncovers a sinister secret when he visits his white girlfriends family estate in Peeles landmark social horror that redefined the genre as a vehicle for racial commentary.,Oscar Best Original Screenplay; Spirit Best Feature + Director; RT 98 MC 85; $255M on $4.5M budget; Peele first African American Best Original Screenplay winner; cultural phenomenon,"Academy Awards, Spirit Awards, Metacritic, Rotten Tomatoes, Box Office Mojo",,1,,
5,Dunkirk,2017,Christopher Nolan,War/Drama,Allied soldiers trapped on the beaches of Dunkirk face annihilation from land sea and air in Nolans immersive triptych structure recreation of the miraculous 1940 evacuation.,3 Oscars (Editing Sound Editing Sound Mixing); 8 noms including Picture Director; RT 92 MC 94; $527M worldwide; IMAX 70mm; Zimmer score; Nolan first directing Oscar nom; Rylance Branagh Hardy,"Academy Awards, Metacritic, Rotten Tomatoes, Box Office Mojo",,1,,
6,The Square,2017,Ruben Ostlund,Comedy/Drama,A prestigious museum curator faces a series of escalating personal and professional crises after commissioning an installation about altruism and trust in Ostlunds razor-sharp satire of the contemporary art world.,Cannes Palme dOr; Oscar nom Foreign Language; RT 85 MC 73; Claes Bang; ape performance art scene iconic; Ostlund social experiment cinema; art world pretension; Swedish masterwork; 151 minutes,"Cannes Film Festival, Academy Awards, Metacritic, Rotten Tomatoes",,,,
7,BPM (Beats Per Minute),2017,Robin Campillo,Drama,Young activists in the Paris chapter of ACT UP fight for recognition and treatment during the early 1990s AIDS crisis in Campillos urgent passionate chronicle of protest love and mortality.,Cannes Grand Prix; Cesar Best Film; RT 98 MC 90; ACT UP Paris; activism as cinema; Nahuel Perez Biscayart; Arnaud Valois; dance and death intertwined; French cinema landmark; queer vital,"Cannes Film Festival, Cesar Awards, Metacritic, Rotten Tomatoes",,,,
8,Phantom Thread,2017,Paul Thomas Anderson,Drama/Romance,A renowned 1950s London dressmaker finds his carefully controlled world disrupted when a young waitress becomes his muse and lover in Andersons exquisite final collaboration with Daniel Day-Lewis.,Oscar Costume Design; 6 noms including Picture Director Actor; RT 91 MC 90; Day-Lewis final film; Krieps revelatory; Lesley Manville; Greenwood score; fashion as power; poisonous love,"Academy Awards, Metacritic, Rotten Tomatoes",,1,,
9,On Body and Soul,2017,Ildiko Enyedi,Drama/Romance,Two introverted coworkers at a Budapest slaughterhouse discover they share the same dream each night appearing as deer in a snowy forest in Enyedis tender surreal love story.,Berlin Golden Bear; Oscar nom Foreign Language; RT 81 MC 77; Hungarian cinema; dream logic; slaughterhouse romance; deer in snow; Enyedi comeback after 18 years; Alexandra Borbely; gentle surrealism,"Berlin Film Festival, Academy Awards, Metacritic, Rotten Tomatoes",,1,,
10,Loveless,2017,Andrey Zvyagintsev,Drama,A divorcing Moscow couple must unite to search for their twelve-year-old son who has gone missing unnoticed in Zvyagintsevs bleak powerful indictment of emotional neglect and modern Russian society.,Cannes Jury Prize; Oscar nom Foreign Language; RT 89 MC 83; Zvyagintsev follow-up to Leviathan; Russian malaise; missing child; marital dissolution; snow and brutalism; devastating,"Cannes Film Festival, Academy Awards, Metacritic, Rotten Tomatoes",,,,
11,Call Me by Your Name,2017,Luca Guadagnino,Romance/Drama,A seventeen-year-old in 1980s Northern Italy discovers desire and heartbreak during a transformative summer with his fathers research assistant in Guadagninos sensuous coming-of-age romance.,Oscar Adapted Screenplay (James Ivory oldest winner at 89); 4 noms including Picture; Spirit Male Lead (Chalamet); RT 95 MC 93; Chalamet breakout; Hammer; Sufjan Stevens; peach scene iconic,"Academy Awards, Spirit Awards, Metacritic, Rotten Tomatoes",,1,,
12,Faces Places,2017,Agnes Varda/JR,Documentary,An 89-year-old legendary filmmaker and a young street artist travel through rural France creating large-scale portraits of the people they meet in this warm joyous celebration of art and human connection.,Oscar nom Documentary; TIFF Doc Peoples Choice; Spirit Best Documentary; RT 100 MC 85; Varda at 89; JR collaboration; French countryside; art as communion; Godard doorstep scene; Varda final work,"Academy Awards, TIFF, Spirit Awards, Metacritic, Rotten Tomatoes",,,,
13,I Tonya,2017,Craig Gillespie,Drama/Biography,The life of figure skater Tonya Harding is told through unreliable competing accounts leading up to the infamous attack on Nancy Kerrigan in Gillespies darkly comic revisionist biography.,Oscar Supporting Actress (Janney); 3 noms including Actress (Robbie); Golden Globe Supp Actress; Spirit Supp Actress; RT 90 MC 77; Robbie physically transformed; Janney devastating; fourth wall; class commentary,"Academy Awards, Golden Globes, Spirit Awards, Metacritic, Rotten Tomatoes",,1,,
14,Mudbound,2017,Dee Rees,Drama/War,Two families one Black one white share a hardscrabble farm in the Mississippi Delta after WWII as two returning soldiers forge a bond across racial lines in Reess sweeping saga of systemic racism.,4 Oscar noms (Adapted Screenplay Cinematography Supporting Actress Song); RT 97 MC 85; Netflix; Mary J. Blige historic; Rachel Morrison first female cinematography nom; Rees epic vision,"Academy Awards, Metacritic, Rotten Tomatoes",,,,
