Rank,Title,Year,Director,Primary_Genre,Synopsis,Major_Awards,Key_Sources,Favorite,Watchlist,Rating,RatingTimestamp
1,Wild at Heart,1990,David Lynch,Surrealist Romance/Crime,Two doomed lovers flee across a violent American landscape in a fever-dream road movie.,Palme d'Or (Cannes 1990); Spirit Award noms,"Cannes, Independent Spirit Awards, Letterboxd, Criterion Collection",,,,
2,A City of Sadness,1990,Hou Hsiao-hsien,Drama,A Taiwanese family endures political persecution and upheaval in the aftermath of Japanese colonial rule.,Golden Lion (Venice 1989); Spirit nom; Taiwanese New Cinema masterwork (wider 1990 release),"Venice, Spirit Awards, Criterion Collection, Sight & Sound",,,,
3,Dreams,1990,Akira Kurosawa,Fantasy/Anthology,Eight autobiographical dream vignettes from Kurosawa's imagination range from magical encounters with Van Gogh to visions of nuclear catastrophe and pastoral utopia in this visually ravishing late masterwork.,Cannes Honorary Palme d'Or awarded to Kurosawa; Akira Kurosawa's most personal and visually sumptuous film; Martin Scorsese appears as Van Gogh; considered one of the most beautiful films ever made,"Cannes Film Festival, Criterion Collection, Letterboxd, Sight & Sound",,,,
4,Rosencrantz & Guildenstern Are Dead,1990,Tom Stoppard,Comedy/Drama,Two minor Shakespearean characters grapple with fate and free will in a metatheatrical philosophical comedy.,Golden Lion (Venice 1990); Stoppard's directorial debut,"Venice Film Festival, Letterboxd, Criterion Collection",,,,
5,Awakenings,1990,Penny Marshall,Medical Drama,A doctor uses an experimental drug to awaken patients who have been catatonic for decades with miraculous and heartbreaking results.,3 Oscar noms incl. Best Picture; Golden Globe noms; based on Oliver Sacks memoir,"Oscars, Golden Globes, Metacritic, Roger Ebert",,,,
6,Cyrano de Bergerac,1990,Jean-Paul Rappeneau,Period Romance/Drama,The legendary sword-fighting poet writes love letters on behalf of his friend while secretly loving the same woman.,Cannes: Best Actor (Depardieu); 5 Oscar noms; Golden Globe: Best Foreign Language Film; BAFTA wins,"Cannes, Oscars, Golden Globes, BAFTA",,,,
7,Music Box,1990,Costa-Gavras,Political Thriller,A lawyer defends her Hungarian immigrant father against Nazi war crimes accusations that challenge everything she believed.,Golden Bear shared (Berlin 1990); Golden Globe: Best Actress nom (Jessica Lange),"Berlin, Golden Globes, Metacritic",,,,
8,Dances with Wolves,1990,Kevin Costner,Epic Western/Drama,A Union soldier befriends a Lakota tribe and assimilates into their world during the American Civil War.,7 Oscars incl. Best Picture and Best Director; 3 Golden Globes; BAFTA noms; $424M worldwide,"Oscars, Golden Globes, BAFTA, Box Office Mojo, The Numbers",,1,,
9,Larks on a String,1990,Jiří Menzel,Drama/Comedy,Banned for 20 years by the Communist regime this humanistic portrait of political prisoners in a Czech labor camp was finally released.,Golden Bear (Berlin 1990); historically significant restoration,"Berlin Film Festival, Criterion Collection, Letterboxd",,,,
10,The Grifters,1990,Stephen Frears,Neo-Noir/Crime,Three con artists — mother son and girlfriend — spiral into a dangerous triangle of deception.,4 Oscar noms; Independent Spirit: Best Feature; Golden Globe noms; BAFTA noms,"Oscars, Spirit Awards, Metacritic, Rotten Tomatoes",,,,
11,GoodFellas,1990,Martin Scorsese,Crime/Drama,The rise and fall of mobster Henry Hill across decades of organized crime loyalty and betrayal.,Oscar: Best Supporting Actor (Joe Pesci); BAFTA: Best Film; Best Director; Venice: Best Director; 6 Oscar noms,"Box Office Mojo, Metacritic, Rotten Tomatoes, BAFTA, Oscars, Venice, Sight & Sound",,1,,
