Rank,Title,Year,Director,Primary_Genre,Synopsis,Major_Awards,Key_Sources,Favorite,Watchlist,Rating,RatingTimestamp,RankOverride
1,Triangle of Sadness,2022,Ruben Ostlund,Comedy/Drama,A celebrity couple on a luxury cruise that goes horribly wrong in Ostlunds savage class satire about wealth beauty and survival.,Cannes Palme dOr (Ostlund second consecutive after The Square); Oscar noms Picture Director Screenplay; Harris Dickinson Charlbi Dean (died after filming); vomit scene; capsized hierarchy,"Academy Awards, Cannes, Metacritic, Rotten Tomatoes",,1,,,
2,All the Beauty and the Bloodshed,2022,Laura Poitras,Documentary,Photographer Nan Goldins fight against the Sackler family and their role in the opioid crisis intercut with her art and life in Poitras riveting documentary.,Venice Golden Lion (rare documentary winner); Oscar nom Documentary; Spirit Documentary; RT 93 MC 84; Poitras Citizenfour follow-up; Sackler family; opioid crisis; art activism; P.A.I.N.,"Venice, Academy Awards, Spirit Awards, Metacritic, Rotten Tomatoes",,1,,,
3,The Fabelmans,2022,Steven Spielberg,Drama/Biography,A young man discovers a shattering family secret and explores how cinema helps him see the truth in Spielbergs deeply personal semi-autobiographical masterwork.,7 Oscar noms including Picture Director; TIFF Peoples Choice; Golden Globe Drama + Director; Williams LaBeouf Dano Rogen; Spielberg most personal film; post-WWII Arizona,"Academy Awards, TIFF, Golden Globes, Metacritic, Rotten Tomatoes",,1,,,
4,Tar,2022,Todd Field,Drama,A world-renowned conductor faces a reckoning with power accountability and legacy in Fields towering character study marking his return after 16 years away.,6 Oscar noms including Picture Director Actress Screenplay Cinematography Editing; Venice Volpi Actress (Blanchett); BAFTA Actress; Golden Globe Actress Drama; Blanchett career-best; Field first film since Little Children 2006,"Academy Awards, Venice, BAFTA, Golden Globes, Metacritic, Rotten Tomatoes",,1,,,
5,Close,2022,Lukas Dhont,Drama,The intense friendship between two boys unravels with devastating consequences when they start secondary school in Dhonts tender heartrending sophomore film.,Oscar nom International Feature; Cannes Grand Prix; RT 93 MC 81; Dhont Girl follow-up; Eden Dambrine Gustav De Waele extraordinary; boyhood friendship; masculinity pressure; Belgium,"Academy Awards, Cannes, Metacritic, Rotten Tomatoes",,,,,
6,EO,2022,Jerzy Skolimowski,Drama,A donkey encounters good and bad people on an epic journey across Poland and Italy in Skolimowskis mesmerizing spiritual successor to Bressons Au Hasard Balthazar.,Oscar nom International Feature; Cannes Jury Prize; RT 91 MC 79; Skolimowski at 84; Bresson homage; donkey perspective; six donkeys; Poland to Italy; art cinema pilgrimage,"Academy Awards, Cannes, Metacritic, Rotten Tomatoes",,,,,
7,Joyland,2022,Saim Sadiq,Drama,A Pakistani family faces upheaval when its youngest son falls for a transgender performer in Sadiqs groundbreaking debut.,Cannes Un Certain Regard Jury Prize + Queer Palme; Spirit Best International; RT 92 MC 82; Pakistan first Cannes; banned briefly; transgender love; LGBTQ Pakistan,"Cannes, Spirit Awards, Metacritic, Rotten Tomatoes",,1,,,
8,Turning Red,2022,Domee Shi,Animation/Comedy,A 13-year-old girl in Toronto discovers she transforms into a giant red panda when excited in Shis exuberant Pixar debut about puberty and cultural identity.,Oscar nom Animated; Disney+ release; RT 91 MC 78; Shi first sole female Pixar director; Chinese-Canadian 2002 Toronto; puberty metaphor; mother-daughter; 4*Town; Pixar streaming controversy,"Academy Awards, Metacritic, Rotten Tomatoes",,,,,
9,Everything Everywhere All at Once,2022,Daniel Kwan and Daniel Scheinert,Sci-Fi/Comedy,An aging Chinese immigrant is swept up in an insane adventure where she alone can save existence by exploring other universes in the Daniels multiverse masterpiece.,7 Oscars (Picture Director Actress Supporting Actor Supporting Actress Original Screenplay Editing); SAG Ensemble + all acting; Spirit 7 wins (record); Golden Globe Comedy Actress; Yeoh first Asian Best Actress; Quan comeback,"Academy Awards, SAG, Spirit Awards, Golden Globes, Metacritic, Rotten Tomatoes",1,,5,2026-04-01T11:43:54.716Z,
10,All That Breathes,2022,Shaunak Sen,Documentary,Two brothers in New Delhi devote their lives to rescuing injured black kites amid toxic air and sectarian violence in Sens poetic documentary.,Sundance Grand Jury World Cinema Documentary; Cannes Golden Eye; Oscar nom Documentary; RT 96 MC 85; Delhi; black kites; pollution; environmental poetry,"Academy Awards, Sundance, Cannes, Metacritic, Rotten Tomatoes",,,,,
11,Alcarras,2022,Carla Simon,Drama,A family of peach farmers face the loss of their orchard when solar panel plans threaten their livelihood in Simons neorealist family portrait.,Berlin Golden Bear; RT 87 MC 78; Simon Summer 1993 follow-up; Catalan family; non-professional actors; farming vs solar; land and tradition; neorealism,"Berlin, Metacritic, Rotten Tomatoes",,,,,
12,Stars at Noon,2022,Claire Denis,Drama/Thriller,An American journalist stranded in Nicaragua becomes entangled with a mysterious Englishman in Denis languid sensual political romance.,Cannes Grand Prix (shared with Close); RT 71 MC 66; Qualley Alwyn; Denis High Life follow-up; Nicaragua; political thriller; sensual; Denis languor; divisive Cannes winner,"Cannes, Metacritic, Rotten Tomatoes",,1,,,
13,Navalny,2022,Daniel Roher,Documentary,Russian opposition leader Alexei Navalny uncovers evidence of his own poisoning in Rohers gripping real-time political thriller documentary.,Oscar Documentary Feature; Sundance Audience Favorite; BAFTA Documentary; RT 97 MC 80; Navalny poisoning investigation; Bellingcat; real-time thriller; Navalny later died in prison 2024,"Academy Awards, Sundance, BAFTA, Metacritic, Rotten Tomatoes",,,,,
14,Decision to Leave,2022,Park Chan-wook,Mystery/Romance,A detective investigating a death on a mountain peak becomes entangled with the victims enigmatic wife in Parks hypnotic romantic noir masterpiece.,Cannes Best Director; Oscar nom International Feature; RT 94 MC 85; Park Oldboy Handmaiden follow-up; Tang Wei Park Hae-il; Hitchcockian romance; Korean submission; gorgeous cinematography,"Academy Awards, Cannes, Metacritic, Rotten Tomatoes",,,,,
15,The Quiet Girl,2022,Colm Bairead,Drama,A quiet neglected girl sent to live with distant relatives discovers a new way of living in Baireads achingly beautiful Irish-language debut.,Oscar nom International Feature (Irelands first-ever); RT 98 MC 86; Bairead debut; Irish language (Gaeilge); Catherine Clinch extraordinary; Claire Keegan novel Foster; childhood kindness,"Academy Awards, BAFTA, Metacritic, Rotten Tomatoes",,,,,
16,The Banshees of Inisherin,2022,Martin McDonagh,Drama/Comedy,A man on a remote Irish island is devastated when his lifelong friend abruptly ends their relationship in McDonaghs darkly comic parable about friendship grief and stubbornness.,9 Oscar noms; Venice Screenplay + Volpi Actor (Farrell); Golden Globe Comedy + Screenplay + Actor; BAFTA British Film + Supporting Actor (Keoghan) + Supporting Actress (Condon) + Screenplay; Farrell Gleeson Keoghan Condon,"Academy Awards, Venice, Golden Globes, BAFTA, Metacritic, Rotten Tomatoes",,1,,,
17,Guillermo del Toros Pinocchio,2022,Guillermo del Toro and Mark Gustafson,Animation/Fantasy,A wooden puppet navigates Fascist Italy in del Toros visually stunning stop-motion reimagining about imperfection and fatherhood.,Oscar Animated Feature; Golden Globe Animated; BAFTA Animated; RT 88 MC 84; Netflix; del Toro decades-long passion project; stop-motion; Fascist Italy; death and rebirth; McGregor voice,"Academy Awards, Golden Globes, BAFTA, Metacritic, Rotten Tomatoes",,1,,,
18,Elvis,2022,Baz Luhrmann,Drama/Biography,The life and music of Elvis Presley through the prism of his relationship with Colonel Tom Parker in Luhrmanns bombastic biographical spectacle.,8 Oscar noms including Picture Actor (Butler); Golden Globe Actor Drama (Butler); BAFTA Actor (Butler); $287M worldwide; Butler transformative committed performance; Hanks as Parker; Luhrmann maximalism,"Academy Awards, Golden Globes, BAFTA, Metacritic, Rotten Tomatoes, Box Office Mojo",,,,,
19,All Quiet on the Western Front,2022,Edward Berger,War/Drama,A young German soldier on the Western Front experiences the terrors of war in Bergers devastating German-language adaptation of Remarques classic novel.,4 Oscars (International Feature Cinematography Production Design Score); 9 noms including Picture; 7 BAFTAs (Film Director + 5 more); Golden Globe International + Score; Netflix; first German Best Picture nominee since 1930,"Academy Awards, BAFTA, Golden Globes, Metacritic, Rotten Tomatoes",,,,,
20,Saint Omer,2022,Alice Diop,Drama,A novelist attends the trial of a woman accused of murdering her infant by leaving her on a beach in Diops mesmerizing examination of motherhood and race.,Venice Grand Jury Prize; Oscar nom International Feature (France); Cesar Best Film; RT 82 MC 80; Diop documentary filmmaker debut fiction; Kagame; Black motherhood in France,"Venice, Academy Awards, Metacritic, Rotten Tomatoes",,,,,
21,Living,2022,Oliver Hermanus,Drama,A veteran bureaucrat receives a life-changing diagnosis and seeks fulfillment in his remaining time in Hermanus luminous remake of Kurosawas Ikiru.,Oscar noms Actor (Nighy) + Adapted Screenplay (Ishiguro); RT 80 MC 75; Bill Nighy career-best; Kazuo Ishiguro screenplay; 1950s London; Kurosawa Ikiru remake,"Academy Awards, BAFTA, Metacritic, Rotten Tomatoes",,,,,
22,Moonage Daydream,2022,Brett Morgen,Documentary/Music,An immersive cinematic odyssey exploring David Bowies creative journey through extraordinary archival footage in Morgens sensory documentary experience.,Cannes midnight premiere; RT 90 MC 87; Bowie estate authorized; IMAX; no talking heads; experimental; 140 minutes; Ziggy Stardust to Blackstar; sensory masterpiece,"Cannes, Metacritic, Rotten Tomatoes",,,,,
23,Return to Seoul,2022,Davy Chou,Drama,A young French woman returns to South Korea for the first time since being adopted and begins an emotional search for her biological parents.,Cannes Un Certain Regard; Oscar nom International Feature (Cambodia); RT 86 MC 81; Park Ji-min extraordinary non-actor; Chou Cambodian-French; identity; decade-spanning,"Academy Awards, Cannes, Metacritic, Rotten Tomatoes",,,,,
24,Utama,2022,Alejandro Loayza Grisi,Drama,An elderly Quechua couple in the Bolivian highlands face devastating drought threatening their tranquil existence in Grisis debut.,Sundance Grand Jury World Cinema Dramatic; RT 91 MC 70; Grisi debut; Bolivian highlands; Quechua couple; climate change; indigenous elders; stunning landscape,"Sundance, Metacritic, Rotten Tomatoes",,,,,
25,RRR,2022,S.S. Rajamouli,Action/Drama,Two legendary Indian revolutionaries embark on a journey before fighting for their country in Rajamoulis maximalist action epic that became a global phenomenon.,Oscar Best Original Song (Naatu Naatu); $160M+ worldwide; RT 96 MC 79; Ram Charan NTR Jr; Naatu Naatu viral dance; Indian cinema crossover; Tollywood to global mainstream; three-hour epic,"Academy Awards, Metacritic, Rotten Tomatoes, Box Office Mojo",,,,,
26,Women Talking,2022,Sarah Polley,Drama,After a series of sexual assaults the women of a religious colony hold a secret meeting to decide their future in Polleys powerful adaptation.,Oscar Adapted Screenplay; Picture nom; Polley directing return; Foy Buckley Rooney Mara Sheila McCarthy Ben Whishaw; Mennonite colony; Miriam Toews novel; collective feminine agency; MeToo parable,"Academy Awards, Metacritic, Rotten Tomatoes",,,,,
27,Puss in Boots: The Last Wish,2022,Joel Crawford,Animation/Adventure,Puss discovers he has burned through eight of his nine lives and embarks on a quest to find the mythical Last Wish in Crawfords stylistically daring sequel.,Oscar nom Animated; $484M worldwide; RT 93 MC 84; Banderas; Spider-Verse animation influence; Death (wolf) terrifying; hand-painted style; existential themes; surprise critical hit,"Academy Awards, Metacritic, Rotten Tomatoes, Box Office Mojo",,,4,2026-04-01T11:44:39.172Z,
28,Bardo,2022,Alejandro Gonzalez Inarritu,Drama/Comedy,A Mexican journalist returns to his homeland to confront identity and memory in Inarritus sprawling self-reflexive opus.,Venice Competition; Oscar nom Cinematography; RT 71 MC 70; Inarritu Birdman Revenant follow-up; Mexico City; Fellini echoes; Darius Khondji; deeply personal; three hours,"Venice, Academy Awards, Metacritic, Rotten Tomatoes",,,,,
29,The Exiles,2022,Ben Klein and Violet Columbus,Documentary,Three Chinese dissidents scattered across the globe fight to keep their dream of democracy alive in this Sundance-winning portrait of exile.,Sundance Grand Jury Documentary; RT 86 MC 68; Chinese dissidents; democracy; exile; political documentary; tiananmen aftermath; diaspora resistance,"Sundance, Metacritic, Rotten Tomatoes",,,,,
30,Nanny,2022,Nikyatu Jusu,Horror/Drama,A Senegalese immigrant working as a nanny for a wealthy Manhattan family is trapped in a horror that endangers her American Dream.,Sundance Grand Jury Prize (first horror winner); RT 79 MC 74; Anna Diop; Jusu debut; immigration; motherhood; exploitation; West African folklore; diasporic horror,"Sundance, Metacritic, Rotten Tomatoes",,,,,
31,Nope,2022,Jordan Peele,Sci-Fi/Horror,The residents of a California gulch discover an uncanny presence in the skies above them in Peeles ambitious UFO thriller about spectacle and exploitation.,Oscar nom VFX; $171M worldwide; RT 82 MC 77; Peele Get Out Us follow-up; Kaluuya Palmer Yeun; spectacle critique; Gordy the chimp; Hollywood horse wranglers,"Academy Awards, Metacritic, Rotten Tomatoes, Box Office Mojo",,1,,,
32,Tori and Lokita,2022,Jean-Pierre and Luc Dardenne,Drama,Two young immigrants in Belgium try to survive while keeping a dangerous secret in the Dardenne brothers characteristically compassionate social-realist drama.,Cannes 75th Anniversary Prize; RT 91 MC 74; Dardenne brothers; Belgian social realism; child immigrants; exploitation; compassion; 75th Cannes tribute,"Cannes, Metacritic, Rotten Tomatoes",,,,,
33,No Bears,2022,Jafar Panahi,Drama,An Iranian director attempts to remotely direct a film while under a travel ban in Panahis defiant meta-cinema auto-fiction.,Venice Special Jury Prize; RT 93 MC 80; Panahi directed under house arrest before imprisonment; meta-cinema; Iranian censorship; bears as borders; Panahi courage,"Venice, Metacritic, Rotten Tomatoes",,,,,
34,Emily the Criminal,2022,John Patton Ford,Crime/Drama,A young woman saddled with student debt gets involved in a credit card scam in Fords lean gripping debut.,Spirit nom; RT 84 MC 71; Aubrey Plaza career-best; Ford debut; student debt; gig economy; Plaza transformation; Theo Rossi; underground economy; sharp social commentary,"Spirit Awards, Metacritic, Rotten Tomatoes",,1,,,
