Rank,Title,Year,Director,Primary_Genre,Synopsis,Major_Awards,Key_Sources,Favorite,Watchlist,Rating,RatingTimestamp,RankOverride
1,Spotlight,2015,Tom McCarthy,Drama,The Boston Globe Spotlight team uncovers a massive pattern of child abuse covered up by the Catholic Church in McCarthys meticulous ensemble journalism drama.,Oscar Best Picture + Original Screenplay; Spirit Best Feature + Director; RT 97 MC 93; Ruffalo Keaton McAdams Tucci Schreiber; journalism as public service,"Academy Awards, Spirit Awards, Metacritic, Rotten Tomatoes",,1,,,
2,Son of Saul,2015,Laszlo Nemes,Drama/War,A Hungarian prisoner in Auschwitz discovers the body of a boy he believes to be his son and becomes obsessed with giving him a proper Jewish burial amid the machinery of extermination.,Cannes Grand Prix; Oscar Foreign Language; Golden Globe Foreign; Spirit International; RT 96 MC 89; Nemes debut masterwork; Holocaust cinema reinvented; Rohrig extraordinary,"Cannes Film Festival, Academy Awards, Golden Globes, Spirit Awards, Metacritic",,,,,
3,Room,2015,Lenny Abrahamson,Drama,A young mother and her five-year-old son escape from the garden shed where they have been held captive for years and struggle to adjust to the outside world.,TIFF Peoples Choice; Oscar Best Actress (Brie Larson); Golden Globe Actress Drama; BAFTA Actress; Spirit Female Lead; RT 93 MC 86; Larson Tremblay extraordinary,"TIFF, Academy Awards, Golden Globes, BAFTA, Spirit Awards, Metacritic",,1,,,
4,The Revenant,2015,Alejandro Gonzalez Inarritu,Adventure/Drama,A frontiersman left for dead after a bear mauling crawls through the wilderness seeking vengeance against those who abandoned him in Inarritus visceral survival epic.,3 Oscars (Director Actor Cinematography); BAFTA Best Film Director Actor; Golden Globe Drama + Director + Actor; RT 78 MC 76; DiCaprio long-awaited Oscar; Lubezki third consecutive win,"Academy Awards, BAFTA, Golden Globes, Metacritic, Rotten Tomatoes",,1,,,
5,Mad Max: Fury Road,2015,George Miller,Action,A haunted loner and a rebellious imperator join forces to flee across a post-apocalyptic wasteland in a non-stop vehicular war that redefined action cinema.,6 Oscars (Editing Costume Makeup Production Design Sound Editing Sound Mixing); 10 noms including Picture Director; BAFTA Best Editing; RT 97 MC 90; $379M worldwide; feminist blockbuster landmark,"Academy Awards, BAFTA, Metacritic, Rotten Tomatoes, Box Office Mojo",1,,5,2026-04-01T10:44:41.818Z,
6,Carol,2015,Todd Haynes,Romance/Drama,A young shopgirl and an older married woman begin a passionate love affair in 1950s New York navigating societal expectations and personal desire in Haynes luminous queer masterwork.,Cannes Best Actress (Rooney Mara shared); 6 Oscar noms; Spirit Cinematography (Lachman); RT 94 MC 95; Blanchett Mara transcendent; Haynes queer cinema landmark,"Cannes Film Festival, Academy Awards, Spirit Awards, Metacritic, Rotten Tomatoes",,1,,,
7,Dheepan,2015,Jacques Audiard,Drama/Thriller,Three Sri Lankan Tamil refugees pose as a family to gain asylum in France and find themselves caught between their assumed identities and the violence of a Parisian housing project.,Cannes Palme dOr; RT 78 MC 72; Audiard mastery; refugee identity; Paris banlieue violence; Tamil diaspora; controversial Palme choice; Antonythasan Jesuthasan debut,"Cannes Film Festival, Metacritic, Rotten Tomatoes",,,,,
8,Taxi,2015,Jafar Panahi,Drama/Comedy,Banned from filmmaking Iranian director Jafar Panahi drives a taxi through Tehran capturing conversations that reveal the absurdities and contradictions of life in the Islamic Republic.,Berlin Golden Bear; RT 92 MC 86; Panahi subversive; filmed despite ban; Tehran portrait; humor and courage; docufiction; Panahi defiance as art,"Berlin Film Festival, Metacritic, Rotten Tomatoes, Sight and Sound",,,,,
9,The Big Short,2015,Adam McKay,Comedy/Drama,Four outsiders who predicted the 2008 financial crisis and bet against the housing market navigate greed stupidity and corruption on Wall Street in McKays furious irreverent adaptation.,Oscar Adapted Screenplay; 5 noms including Picture Director; BAFTA Adapted Screenplay; RT 88 MC 81; Bale Gosling Carell Pitt; McKay dramatic reinvention; fourth-wall breaking,"Academy Awards, BAFTA, Metacritic, Rotten Tomatoes",,,4,2026-04-01T15:46:46.772Z,
10,From Afar,2015,Lorenzo Vigas,Drama,A middle-aged dental prosthetics manufacturer in Caracas begins a dangerous obsession with a young street tough in Vigas tense debut exploring desire power and class.,Venice Golden Lion; RT 73 MC 64; Vigas debut; Venezuelan cinema; class dynamics; queer desire; power imbalance; Venice surprise winner,"Venice Film Festival, Metacritic, Rotten Tomatoes",,,,,
