Rank,Title,Year,Director,Primary_Genre,Synopsis,Major_Awards,Key_Sources,Favorite,Watchlist,Rating,RatingTimestamp
1,Il Postino,1995,Michael Radford,Drama,A shy Italian postman befriends exiled poet Pablo Neruda on a small island and discovers the transformative power of poetry and love.,"Oscar (Best Score); 5 Oscar nominations including Best Picture; BAFTA (Best Director, Film Not in English, Score); Golden Globe (Score)","Oscars, BAFTA, Golden Globes",,1,,
2,Leaving Las Vegas,1995,Mike Figgis,Drama,A suicidal screenwriter descends into alcoholism in Las Vegas and forms an unlikely bond with a prostitute who agrees not to ask him to stop drinking.,"Oscar (Best Actor for Nicolas Cage); 4 Oscar nominations; Independent Spirit (Best Feature, Director, Actor, Cinematography); Golden Globe (Best Actor)","Oscars, Spirit Awards, Golden Globes",,,,
3,Babe,1995,Chris Noonan,Family,"A kindly piglet raised by sheepdogs learns he can herd sheep himself and enters a prestigious competition, defying everyone's expectations.",7 Oscar nominations including Best Picture; Golden Globe (Best Musical/Comedy); BAFTA nominations; $254M worldwide,"Oscars, Golden Globes, BAFTA, Box Office Mojo",,,,
4,Underground,1995,Emir Kusturica,War,Two friends exploit an underground bunker during WWII and the Cold War in this satirical epic spanning decades of Yugoslav history.,Palme d'Or; acclaimed masterpiece of Balkan cinema; darkly comic magical realism,"Cannes, Letterboxd, Sight & Sound",,,,
5,Cyclo,1995,Tran Anh Hung,Drama,"A Saigon cyclo driver is drawn into the criminal underworld when his vehicle is stolen, descending into a dreamlike spiral of violence.",Venice Golden Lion; Tran Anh Hung's follow-up to Scent of Green Papaya; acclaimed Vietnamese cinema,"Venice, Letterboxd, Criterion",,,,
6,Sense and Sensibility,1995,Ang Lee,Romance,Two sisters with contrasting temperaments navigate love and heartbreak in Regency-era England after their family's fortunes collapse.,"Oscar (Best Adapted Screenplay); 7 Oscar nominations; BAFTA (Best Film, Actress, Supporting Actress); Golden Globe (Best Drama, Screenplay)","Oscars, BAFTA, Golden Globes",,,,
7,Apollo 13,1995,Ron Howard,Drama,NASA engineers and astronauts race against time to bring three stranded crew members safely home after an oxygen tank explosion cripples their spacecraft.,"2 Oscars (Editing, Sound); 9 Oscar nominations; $355M worldwide; BAFTA (Production Design, Sound); Golden Globe nominations","Oscars, BAFTA, Box Office Mojo",,,,
8,Carrington,1995,Christopher Hampton,Drama,The unconventional love between painter Dora Carrington and gay writer Lytton Strachey is charted through the Bloomsbury Group years.,Cannes Best Actor (Jonathan Pryce) and Jury Prize; BAFTA nominations; Christopher Hampton's directorial debut,"Cannes, BAFTA, Rotten Tomatoes",,,,
9,The Bait,1995,Bertrand Tavernier,Crime,"A young woman is used as bait by two petty criminals to lure and rob wealthy men in Paris, with devastating consequences.",Berlin Golden Bear; Tavernier's chilling crime thriller,"Berlin, Letterboxd, Wikipedia",,,,
10,Braveheart,1995,Mel Gibson,Historical,Scottish warrior William Wallace leads a brutal rebellion against English rule in 13th-century Scotland to avenge his murdered wife and free his nation.,"5 Oscars (Best Picture, Director, Cinematography, Sound, Makeup); Golden Globe (Best Director); $210M worldwide","Oscars, Golden Globes, Box Office Mojo",,,,
