Rank,Title,Year,Director,Primary_Genre,Synopsis,Major_Awards,Key_Sources,Favorite,Watchlist,Rating,RatingTimestamp
1,The English Patient,1996,Anthony Minghella,Drama/Romance,A severely burned man in an Italian monastery reveals his wartime romance and betrayal through fragmented memories.,Academy Awards: Best Picture + 8 more (9 total); BAFTA Best Film + 5 more; Golden Globe Best Drama; 12 Oscar nominations,"Academy Awards Database, BAFTA, Golden Globes, Box Office Mojo",,1,,
2,Secrets & Lies,1996,Mike Leigh,Drama,A working-class woman discovers her Black biological daughter after years apart leading to family upheaval.,Palme d'Or Cannes 1996; BAFTA Best Film + 2 more; 5 Oscar nominations; Golden Globe nom Best Drama,"Cannes Film Festival, BAFTA, Academy Awards Database, Metacritic",,,,
3,Michael Collins,1996,Neil Jordan,Biography/Drama,Irish revolutionary Michael Collins orchestrates an independence campaign against British forces in early 20th century Ireland.,Golden Lion Venice 1996; Oscar nom Best Original Score; 2 Golden Globe noms; Neil Jordan historical epic,"Venice Film Festival, Academy Awards Database, Golden Globes, Wikipedia",,,,
4,Breaking the Waves,1996,Lars von Trier,Drama,A naive Scottish woman makes extreme sacrifices after her husband is paralyzed in an offshore accident.,Grand Prix Cannes 1996; BAFTA nominations; Golden Globe nom Best Actress (Emily Watson); Independent Spirit Foreign Film nom,"Cannes Film Festival, BAFTA, Metacritic, Sight & Sound",,,,
5,Shine,1996,Scott Hicks,Biography/Drama,A biopic of pianist David Helfgotts struggles with mental illness and his triumphant return to concert performance.,Academy Award Best Actor (Geoffrey Rush); 7 Oscar noms; BAFTA Best Actor + 1 more; Golden Globe Best Drama; 9 BAFTA noms,"Academy Awards Database, BAFTA, Golden Globes, Metacritic",,,,
6,Up Close & Personal,1996,Jon Avnet,Drama/Romance,A young womans rise through television journalism intertwines with romance with a veteran news director.,Oscar nom Best Original Song; $51.1M domestic; Robert Redford and Michelle Pfeiffer; romantic drama,"Academy Awards Database, Box Office Mojo, Metacritic, The Numbers",,,,
7,Fargo,1996,"Joel Coen, Ethan Coen",Crime/Drama,A pregnant police chief investigates a botched kidnapping scheme in snowy Minnesota that spirals into escalating violence.,Academy Awards: Best Original Screenplay and Best Actress (Frances McDormand); Cannes Best Director; BAFTA Best Director; Golden Globe Best Film Comedy/Musical; Independent Spirit Best Feature,"Metacritic, Rotten Tomatoes, Roger Ebert, Academy Awards Database, Box Office Mojo",,1,,
8,Evita,1996,Alan Parker,Musical/Biography,Musical biopic of Eva Peron tracing her rise from poverty to Argentinas First Lady through ambition and charisma.,Academy Award Best Original Song; 3 Golden Globe wins; 5 Oscar noms; 8 BAFTA noms; Madonnas prestige vehicle,"Academy Awards Database, Golden Globes, BAFTA, Box Office Mojo",,,,
9,Crash,1996,David Cronenberg,Drama,An underground circle of people develop a sexual obsession with car crashes pushing boundaries of transgression.,Special Jury Prize Cannes 1996; controversial masterpiece; critical respect despite audience discomfort; cult following,"Cannes Film Festival, Metacritic, Sight & Sound, Criterion Collection",,,,
10,The Crucible,1996,Nicholas Hytner,Drama/History,Arthur Millers tale of the Salem witch trials exploring persecution and moral courage during mass hysteria in Puritan Massachusetts.,2 Oscar noms; 2 BAFTA noms; Golden Globe nom; prestigious casting with Daniel Day-Lewis and Winona Ryder,"Academy Awards Database, BAFTA, Golden Globes, Metacritic",,,,
