Rank,Title,Year,Director,Primary_Genre,Synopsis,Major_Awards,Key_Sources,Favorite,Watchlist,Rating,RatingTimestamp
1,Barton Fink,1991,Joel Coen & Ethan Coen,Comedy/Drama,A neurotic New York playwright spirals into surrealist nightmare after moving to 1940s Hollywood.,Palme d'Or (Cannes); Best Director (Cannes); Best Actor John Turturro (Cannes); Spirit noms,"Cannes, Independent Spirit Awards, Metacritic, Rotten Tomatoes (94%), Letterboxd",,1,,
2,The Silence of the Lambs,1991,Jonathan Demme,Psychological Thriller,FBI trainee Clarice Starling seeks help from incarcerated cannibalistic genius Hannibal Lecter to catch a serial killer.,5 Oscars: Best Picture/Director/Actor/Actress/Adapted Screenplay (Big Five sweep); BAFTA wins; Berlin Silver Bear,"Oscars, BAFTA, Berlin, Metacritic (85), RT (95%), Roger Ebert, Box Office Mojo",,1,5,2026-04-07T09:30:05.256Z
3,Bugsy,1991,Barry Levinson,Crime/Biography,Charismatic mobster Bugsy Siegel's obsessive vision of building Las Vegas collides with his volatile love life.,2 Oscars: Art Direction and Costume Design; 10 Oscar noms; Golden Globe win; 8 GG noms,"Oscars, Golden Globes, BAFTA, Metacritic",,1,,
4,Close to Eden,1991,Nikita Mikhalkov,Comedy/Drama,A Mongolian nomad and a Russian truck driver form an unlikely friendship as modern and traditional worlds collide.,Golden Lion (Venice); OCIC Award; Pasinetti Award,"Venice, Letterboxd",,,,
5,JFK,1991,Oliver Stone,Political Thriller,A New Orleans DA investigates the Kennedy assassination uncovering a vast conspiracy of power and deceit.,2 Oscars: Cinematography and Editing; Golden Globe: Best Director; 8 Oscar noms; BAFTA wins,"Oscars, Golden Globes, BAFTA, Metacritic (78), RT (87%), Box Office Mojo",,,,
6,Larks on a String,1991,Jiří Menzel,Drama/Comedy,Political prisoners in a Czech labor camp find humor and humanity under oppression (banned since 1969 wider 1991 release).,Golden Bear (Berlin 1990); Menzel masterwork released internationally,"Berlin Film Festival, Criterion Collection, Letterboxd",,,,
7,The House of Smiles,1991,Marco Ferreri,Drama,Elderly inmates navigate love dignity and mortality in an Italian nursing home in Ferreri's deeply humanistic farewell.,Golden Bear (Berlin 1991); Ferreri's final masterwork,"Berlin Film Festival, Letterboxd",,,,
8,Thelma & Louise,1991,Ridley Scott,Crime/Drama,Two women embark on a transformative road trip that spirals into outlaw liberation and feminist awakening.,Oscar: Best Original Screenplay; 6 Oscar noms; Golden Globe win; Criterion Collection,"Oscars, Golden Globes, Cannes (Closing Film), Criterion Collection, RT (92%)",,1,,
9,La Belle Noiseuse,1991,Jacques Rivette,Drama,An aging painter returns to work on an unfinished masterpiece using a young woman as his reluctant new muse.,Grand Jury Prize (Cannes); Ecumenical Prize nom; four-hour art cinema landmark,"Cannes, Roger Ebert, Letterboxd, Sight & Sound",,1,,
10,Boyz n the Hood,1991,John Singleton,Drama/Crime,Three young men navigate friendship and survival in the gang-ridden streets of South Central Los Angeles.,2 Oscar noms incl. Director (Singleton youngest ever nominated); Golden Globe noms; $57M domestic,"Oscars, Cannes (Un Certain Regard), Spirit Awards, RT (92%), Box Office Mojo",,,,
