Rank,Title,Year,Director,Primary_Genre,Synopsis,Major_Awards,Key_Sources,Favorite,Watchlist,Rating,RatingTimestamp
1,Parasite,2019,Bong Joon-ho,Thriller/Drama,A poor family schemes their way into employment with a wealthy household with devastating consequences in Bongs masterful class satire that became a global phenomenon.,Oscar Picture + Director + Original Screenplay + International Feature (first non-English Best Picture); Cannes Palme dOr (first Korean film); BAFTA Non-English; Golden Globe Foreign; SAG Ensemble; 4 Oscar wins from 6 noms; Bong second person since Walt Disney to collect four statuettes in single ceremony,"Academy Awards, Cannes, BAFTA, Golden Globes, SAG, Metacritic, Rotten Tomatoes",1,,5,2026-04-01T15:15:18.435Z
2,1917,2019,Sam Mendes,War/Drama,Two young British soldiers must cross enemy territory to deliver a message that could save 1600 lives in Mendes immersive one-continuous-shot World War I epic.,Oscar Cinematography (Deakins) + Sound Mixing + Visual Effects; BAFTA Film + Director; Golden Globe Drama + Director; 10 Oscar noms; $384M worldwide; Mendes Deakins; single-take illusion; Wilson-Cairns co-wrote,"Academy Awards, BAFTA, Golden Globes, Metacritic, Rotten Tomatoes, Box Office Mojo",,1,,
3,Joker,2019,Todd Phillips,Drama/Thriller,A failed comedian descends into madness and transforms into Gothams most infamous criminal in Phillips dark character study that ignited global debate.,Oscar Actor (Phoenix) + Original Score (Gudnadottir first solo woman winner); Venice Golden Lion; 11 Oscar noms; $1.074B worldwide; Phoenix lost 52 pounds; first R-rated film to cross $1B; cultural flashpoint; Gudnadottir historic win,"Academy Awards, Venice, Metacritic, Rotten Tomatoes, Box Office Mojo",,,4,2026-04-01T15:15:27.161Z
4,Marriage Story,2019,Noah Baumbach,Drama,A couple going through a coast-to-coast divorce struggle to keep their relationship civil and protect their son in Baumbachs deeply personal and devastating Netflix drama.,Oscar Supporting Actress (Dern); 6 Oscar noms including Picture; Golden Globe noms; Spirit noms; Driver Johansson extraordinary; Dern career-best; Baumbach autobiographical elements; Netflix prestige milestone,"Academy Awards, Golden Globes, Spirit Awards, Metacritic, Rotten Tomatoes",,1,,
5,The Irishman,2019,Martin Scorsese,Crime/Drama,A truck driver becomes a hitman involved with the Bufalino crime family and the disappearance of Jimmy Hoffa in Scorseses epic three-and-a-half-hour Netflix mob saga.,10 Oscar noms including Picture Director; BAFTA noms; Golden Globe noms; De Niro Pacino Pesci reunited; de-aging technology; $159M budget; Scorsese Netflix pivot; Zaillian screenplay; Hoffa mystery; three-decade span,"Academy Awards, BAFTA, Golden Globes, Metacritic, Rotten Tomatoes",,1,,
6,Les Miserables,2019,Ladj Ly,Drama/Thriller,A new cop assigned to an anti-crime unit in Montfermeil discovers the simmering tensions between gangs police and residents that threaten to explode in Lys urgent debut.,Oscar nom International Feature; Cannes Jury Prize (shared); Cesar Best Film; RT 94 MC 79; Ly debut; Montfermeil banlieue; police brutality; Hugo connection; 2005 riots echo; explosive finale,"Academy Awards, Cannes, Cesar Awards, Metacritic, Rotten Tomatoes",,,,
7,Jojo Rabbit,2019,Taika Waititi,Comedy/Drama,A lonely German boy whose imaginary friend is Adolf Hitler discovers his mother is hiding a Jewish girl in their home in Waititis audacious anti-hate satire.,Oscar Adapted Screenplay; TIFF Peoples Choice; Best Picture nom; BAFTA Adapted Screenplay; $90M worldwide; Waititi played Hitler; Johansson Oscar nom; Davis breakout; anti-hate message; daring tonal balance,"Academy Awards, TIFF, BAFTA, Metacritic, Rotten Tomatoes, Box Office Mojo",1,,4,2026-04-16T10:43:45.351Z
8,Uncut Gems,2019,Josh and Benny Safdie,Drama/Thriller,A charismatic New York jeweler and gambling addict makes a series of increasingly desperate bets in the Safdies relentlessly anxiety-inducing masterpiece.,Spirit nom; Golden Globe nom (Sandler); RT 92 MC 90; Sandler career-best dramatic performance; Garnett cameo; Diamond District; 2012 NBA playoffs; no Oscar noms sparked outrage; Safdie brothers breakthrough,"Spirit Awards, Metacritic, Rotten Tomatoes",,1,,
9,Atlantics,2019,Mati Diop,Drama/Fantasy,After young men from a Dakar construction site disappear at sea seeking better lives in Europe their ghostly presence returns to haunt the women left behind.,Cannes Grand Prix (Diop first Black woman director in Competition); Netflix; RT 96 MC 84; Diop debut; Senegalese; migration; supernatural romance; class and labor; haunting atmosphere; genre-blending,"Cannes, Metacritic, Rotten Tomatoes",,,,
10,Pain and Glory,2019,Pedro Almodovar,Drama,An aging filmmaker in physical and emotional decline reflects on his life and the choices that shaped him in Almodovars deeply personal semi-autobiographical masterwork.,Oscar nom Actor (Banderas); Cannes Best Actor (Banderas); BAFTA nom Non-English; Golden Globe nom Foreign; RT 97 MC 88; Banderas Almodovar reunion; autobiographical; addiction and creativity; Penelope Cruz; career-spanning reflection,"Academy Awards, Cannes, BAFTA, Golden Globes, Metacritic, Rotten Tomatoes",,,,
