Rank,Title,Year,Director,Primary_Genre,Synopsis,Major_Awards,Key_Sources,Favorite,Watchlist,Rating,RatingTimestamp
1,Pulp Fiction,1994,Quentin Tarantino,Crime,"Interconnected stories of Los Angeles hitmen, a boxer, a gangster's wife, and armed robbers intertwine in a groundbreaking non-linear narrative.","Palme d'Or; Oscar (Best Original Screenplay); 7 Oscar nominations; Independent Spirit (Best Feature, Director, Screenplay); 9 BAFTA nominations","Cannes, Oscars, Spirit Awards, Metacritic",1,,5,2026-04-02T08:54:01.089Z
2,Before the Rain,1994,Milcho Manchevski,Drama,"Three interconnected stories in Macedonia and London examine cycles of ethnic violence, forbidden love, and the impossibility of escape from history.",Venice Golden Lion; Oscar nomination (Foreign Language); acclaimed Macedonian cinema debut,"Venice, Oscars, Letterboxd",,,,
3,Three Colours: Red,1994,Krzysztof Kieślowski,Drama,"A model in Geneva discovers a retired judge secretly eavesdropping on his neighbours' calls, forging a bond that explores fate and human connection.",Metacritic 100; 3 Oscar nominations; Golden Globe (Best Foreign Language Film); 4 BAFTA nominations; Cannes Competition,"Cannes, Oscars, Metacritic, Criterion",,,,
4,Vive l'Amour,1994,Tsai Ming-liang,Drama,Three lonely people in Taipei unknowingly share the same empty apartment in a haunting portrait of urban alienation and desperate human connection.,Venice Golden Lion; FIPRESCI Prize; Tsai Ming-liang's breakthrough; Taiwanese New Cinema landmark,"Venice, Criterion, Sight & Sound",,,,
5,Forrest Gump,1994,Robert Zemeckis,Drama,A kind-hearted man with a low IQ inadvertently influences major historical events across three decades of American life while pursuing his childhood sweetheart.,"6 Oscars (Best Picture, Director, Actor); Golden Globe (Best Drama); $677M worldwide","Oscars, Golden Globes, Box Office Mojo",,1,,
6,Bullets Over Broadway,1994,Woody Allen,Comedy,"A 1920s playwright accepts mob financing for his Broadway show, only to discover the gangster's enforcer is a secret dramatic genius.","Oscar (Supporting Actress for Dianne Wiest); 7 Oscar nominations; Independent Spirit wins (Supporting Female, Screenplay)","Oscars, Spirit Awards, Golden Globes",,,,
7,The Shawshank Redemption,1994,Frank Darabont,Drama,A banker wrongfully imprisoned for murder bonds with a fellow inmate over decades and never gives up hope of freedom and redemption.,7 Oscar nominations; BAFTA Best Film nominee; universally regarded as one of the greatest films ever made,"Oscars, BAFTA, Rotten Tomatoes, Letterboxd",,,4,2026-04-02T08:53:58.331Z
8,Quiz Show,1994,Robert Redford,Drama,The true story of the 1950s television quiz show scandal exposes moral corruption beneath the surface of American intellectual celebrity.,4 Oscar nominations; 4 Golden Globe nominations; 3 BAFTA nominations; Redford acclaimed direction,"Oscars, Golden Globes, BAFTA, Metacritic",,,,
9,The Madness of King George,1994,Nicholas Hytner,Drama,King George III's descent into apparent madness threatens the British monarchy as politicians manoeuvre for power around his vulnerable throne.,Oscar (Best Art Direction); 4 Oscar nominations; 4 Golden Globe nominations; Nigel Hawthorne acclaimed,"Oscars, Golden Globes, BAFTA",,,,
10,Eat Drink Man Woman,1994,Ang Lee,Comedy/Drama,A widowed master chef in Taipei navigates complicated relationships with his three unmarried daughters through elaborate Sunday dinners.,Oscar nomination (Foreign Language); 6 Independent Spirit nominations; Cannes Directors' Fortnight,"Oscars, Spirit Awards, Cannes, Criterion",,,,
11,Legends of the Fall,1994,Edward Zwick,Drama,Three brothers in early 20th-century Montana are torn apart by love war and a shared passion for the same woman across decades of hardship and betrayal in this sweeping epic.,Oscar Best Cinematography; 3 Oscar nominations; 4 Golden Globe nominations; Brad Pitt Anthony Hopkins Aidan Quinn and Julia Ormond; $160M worldwide; grand classical Hollywood epic filmmaking,"Oscars, Golden Globes, Box Office Mojo, Metacritic",,,,
12,Little Women,1994,Gillian Armstrong,Drama,"The four March sisters navigate love, ambition, loss, and independence during and after the American Civil War.",3 Oscar nominations; Golden Globe nomination; acclaimed feminist literary adaptation; Winona Ryder leads,"Oscars, Golden Globes, Rotten Tomatoes",,,,
13,Nell,1994,Michael Apted,Drama,A doctor and a psychologist discover a woman raised in total isolation in the Appalachian wilderness who speaks an unknown language.,Oscar nomination (Actress for Jodie Foster); 3 Golden Globe nominations; 2 Spirit nominations,"Oscars, Golden Globes, Spirit Awards",,,,
14,What Happened Was...,1994,Tom Noonan,Drama,Two lonely office coworkers share an excruciatingly intimate first date that gradually reveals their hidden vulnerabilities and desperate isolation.,Independent Spirit nominations; Sundance Grand Jury Prize; Tom Noonan's unsettling chamber piece,"Spirit Awards, Sundance, Rotten Tomatoes",,,,
15,Clerks,1994,Kevin Smith,Comedy,"Two New Jersey convenience store clerks spend a day debating pop culture, relationships, and the meaning of life between serving indifferent customers.","Cannes Critics' Week Award; 3 Independent Spirit nominations; famously made for $27,575; defined 1990s indie cinema","Cannes, Spirit Awards, Sundance, Letterboxd",,,,
16,Four Weddings and a Funeral,1994,Mike Newell,Romance,A commitment-phobic Englishman falls for an elusive American woman across a series of social gatherings in this quintessential British romantic comedy.,"BAFTA (Best Film, Director, Actor, Supporting Actress); Oscar nomination (Best Picture); $245M worldwide","BAFTA, Oscars, Box Office Mojo, Golden Globes",,,,
