Rank,Title,Year,Director,Primary_Genre,Synopsis,Major_Awards,Key_Sources,Favorite,Watchlist,Rating,RatingTimestamp
1,Letters from Iwo Jima,2006,Clint Eastwood,War/Drama,Japanese soldiers prepare to defend Iwo Jima against the American invasion knowing they will die on the island in Eastwoods extraordinary companion piece told entirely from the Japanese perspective.,Oscar nom Best Picture + Director; Golden Globe Foreign Film; MC 89 RT 91%; $68M on $19M; rare American film in Japanese; Watanabe commanding; Eastwoods masterful diptych,"Academy Awards, Golden Globes, Metacritic, Rotten Tomatoes",,1,,
2,Little Miss Sunshine,2006,Jonathan Dayton and Valerie Faris,Comedy/Drama,A dysfunctional family piles into a VW bus for a cross-country road trip to get their daughter to a beauty pageant in this irresistible Sundance sensation that became the years heart.,2 Oscars (Supporting Actor Arkin + Original Screenplay); SAG Ensemble; Spirit Best Feature + Director; BAFTA Screenplay; MC 80 RT 91%; $101M on $8M,"Academy Awards, SAG Awards, Independent Spirit Awards, BAFTA",,,,
3,The Wind That Shakes the Barley,2006,Ken Loach,Drama/War,Two Irish brothers join the 1920s fight for independence but the civil war that follows tears them apart as revolutionary ideals collide with pragmatic compromise.,Cannes Palme dOr; MC 82 RT 91%; $20M; Loachs most commercially successful film; Murphy and Delaney devastating; Irish independence epic; European Film Award nom,"Cannes Film Festival, Metacritic, Rotten Tomatoes, European Film Awards",,1,,
4,The Departed,2006,Martin Scorsese,Crime/Thriller,An undercover cop and a mole in the police force race to identify each other in Scorseses ferocious Boston crime epic that finally won him the Oscar after decades of snubs.,4 Oscars (Picture Director Adapted Screenplay Editing); DGA; WGA; Golden Globe noms; BAFTA noms; MC 85 RT 91%; $291M on $90M; Scorseses crowning commercial triumph,"Academy Awards, DGA, WGA, Metacritic",,1,,
5,The Lives of Others,2006,Florian Henckel von Donnersmarck,Drama/Thriller,A Stasi surveillance agent monitoring a playwright in 1984 East Berlin begins to question the system he serves as art and humanity penetrate his ideological armor.,Oscar Best Foreign Language Film; BAFTA Film Not in English; European Film Awards (Film Actor Screenplay); Spirit Best International; MC 89 RT 93%; $77M on $2M,"Academy Awards, BAFTA, European Film Awards, Metacritic",,1,,
6,Babel,2006,Alejandro Gonzalez Inarritu,Drama,A rifle shot in Morocco connects four storylines across three continents exposing how miscommunication and borders fracture human understanding in Inarritus ambitious global drama.,Golden Globe Best Drama; Oscar Score + 6 more noms (Picture Director); Cannes Director; BAFTA noms; MC 69 RT 69%; $135M on $25M; divisive but towering in ambition,"Golden Globes, Academy Awards, Cannes Film Festival, Metacritic",,1,,
7,Pans Labyrinth,2006,Guillermo del Toro,Fantasy/Drama,A young girl escapes the horrors of post-Civil War Spain through a labyrinth inhabited by fantastical creatures as the brutality of fascism and the refuge of imagination collide in del Toros dark fairy-tale masterpiece.,3 Oscars (Cinematography Art Direction Makeup); BAFTA Film Not in English; Spirit noms; MC 98 RT 95%; $83M on $19M; among the greatest fantasy films ever made,"Academy Awards, BAFTA, Independent Spirit Awards, Metacritic",,1,,
8,Still Life,2006,Jia Zhangke,Drama,Two people search for missing spouses in a Chinese city being demolished for the Three Gorges Dam as personal loss mirrors a nations erasure of its own history.,Venice Golden Lion; MC 81 RT 91%; Jia Zhangkes masterwork; Chinese modernity documented through ruins; formally stunning; one of the defining films of 21st century Chinese cinema,"Venice Film Festival, Metacritic, Rotten Tomatoes, Sight and Sound",,,,
9,The Queen,2006,Stephen Frears,Drama/Biography,Helen Mirren delivers a towering performance as Elizabeth II navigating the political crisis following Princess Dianas death as Tony Blair pushes the monarchy toward public mourning.,Oscar Best Actress (Mirren); Venice Best Screenplay + Actor; BAFTA 3 wins; SAG Actress; Golden Globe noms; MC 91 RT 97%; $123M on $15M,"Academy Awards, Venice Film Festival, BAFTA, Metacritic",,,,
10,The Last King of Scotland,2006,Kevin Macdonald,Drama/Thriller,A young Scottish doctor becomes Ugandan dictator Idi Amins personal physician and is seduced by power before witnessing the regimes terrifying brutality firsthand.,Oscar Best Actor (Whitaker); BAFTA 6 wins (Film Actor Director Screenplay British Film); SAG Actor; MC 75 RT 87%; $48M on $6M; Whitakers titanic transformative performance,"Academy Awards, BAFTA, SAG Awards, Metacritic",,,,
