Rank,Title,Year,Director,Primary_Genre,Synopsis,Major_Awards,Key_Sources,Favorite,Watchlist,Rating,RatingTimestamp
1,Brokeback Mountain,2005,Ang Lee,Romance/Drama,Two cowboys develop a forbidden love affair over twenty years of secret meetings in the Wyoming mountains as societal pressure and internalized shame destroy their chance at happiness.,Venice Golden Lion; 3 Oscars (Director Screenplay Score); 4 Golden Globes (Drama Director Screenplay Song); 4 BAFTAs; DGA; WGA; MC 87 RT 88%; $178M on $14M,"Venice Film Festival, Academy Awards, Golden Globes, BAFTA",,1,,
2,LEnfant,2005,Jean-Pierre and Luc Dardenne,Drama/Crime,A young petty criminal impulsively sells his newborn baby on the black market and must desperately try to undo his act before losing the woman he loves in the Dardennes devastating moral fable.,Cannes Palme dOr; MC 78 RT 93%; Dardennes second Palme (after Rosetta); Belgian cinema landmark; Spirit nom; among the decades great European films,"Cannes Film Festival, Metacritic, Rotten Tomatoes, Independent Spirit Awards",,,,
3,Good Night and Good Luck,2005,George Clooney,Drama/Historical,Edward R. Murrow and his CBS team challenge Senator McCarthys anti-communist witch hunts in Clooneys elegant black-and-white recreation of journalisms most courageous moment.,Venice Best Screenplay + Best Actor (Strathairn); 6 Oscar noms (Picture Director Actor Screenplay Cinematography Art Direction); NBR Best Film; MC 80 RT 93%; $54M on $7M,"Venice Film Festival, Academy Awards, NBR, Metacritic",,,,
4,Sophie Scholl: The Final Days,2005,Marc Rothemund,Drama/Historical,A young German resistance leader is arrested for distributing anti-Nazi leaflets and faces interrogation and trial in this tense portrait of moral courage during the Third Reich.,Oscar nom Foreign Film; Berlin Silver Bear Director + Actress; MC 79 RT 93%; Jentsch riveting as Scholl; German war guilt cinema landmark,"Academy Awards, Berlin Film Festival, Metacritic, Rotten Tomatoes",,,,
5,Munich,2005,Steven Spielberg,Thriller/Drama,After the 1972 Munich Olympics massacre Israeli intelligence agents track and assassinate those responsible as the moral cost of vengeance corrodes their souls in Spielbergs most morally complex film.,5 Oscar noms (Picture Director Editing Screenplay Score); DGA nom; Golden Globe noms; MC 74 RT 78%; $131M on $75M; Spielbergs controversial masterwork,"Academy Awards, DGA, Golden Globes, Metacritic",,,,
6,Me and You and Everyone We Know,2005,Miranda July,Comedy/Drama,A lonely shoe salesman and an eccentric video artist circle each other while neighborhood children explore connection and sexuality in Julys audacious whimsical debut about loneliness and intimacy.,Cannes Camera dOr + Critics Week Grand Prix; Spirit noms; MC 73 RT 82%; $4M; Julys distinctive voice fully formed; funny and tender; one of the great American indie debuts,"Cannes Film Festival, Independent Spirit Awards, Metacritic, Rotten Tomatoes",,,,
7,Capote,2005,Bennett Miller,Drama/Biography,Philip Seymour Hoffman disappears into the role of Truman Capote as the author researches In Cold Blood forming a complicated bond with a killer that transforms and ultimately destroys him.,Oscar Best Actor (Hoffman); Golden Globe Actor; SAG Actor; Spirit Actor; NBR Actor; BAFTA noms; MC 88 RT 90%; $49M on $7M,"Academy Awards, Golden Globes, SAG Awards, Independent Spirit Awards",,,,
8,Paradise Now,2005,Hany Abu-Assad,Drama/Thriller,Two Palestinian childhood friends are recruited for a suicide bombing in Tel Aviv and spend their final hours preparing questioning and ultimately choosing their fates in this tense humanizing drama.,Oscar nom Foreign Film; Golden Globe nom; Berlin Blue Angel Award; Spirit nom; MC 72 RT 89%; $2.6M; controversial but essential; first Palestinian Oscar nominee,"Academy Awards, Golden Globes, Berlin Film Festival, Independent Spirit Awards",,,,
9,U-Carmen eKhayelitsha,2005,Mark Dornford-May,Musical/Drama,Bizets Carmen is transposed to a contemporary South African township sung in Xhosa with electrifying results in this landmark reimagining that won Berlins highest honor.,Berlin Golden Bear; MC 64 RT 79%; first African language film to win Golden Bear; South African cinema milestone; vibrant musical energy; Paulina Malefane magnificent,"Berlin Film Festival, Metacritic, Rotten Tomatoes, IndieWire",,,,
10,Murderball,2005,Henry Alex Rubin and Dana Adam Shapiro,Documentary/Sports,Quadriplegic rugby players fiercely compete in the most aggressive sport youve never seen in this riveting documentary that shatters every preconception about disability and athleticism.,Oscar nom Documentary; Sundance Audience Award + Editing Prize; Spirit nom; MC 80 RT 97%; $3M; exhilarating and profoundly humanizing,"Academy Awards, Sundance Film Festival, Independent Spirit Awards, Metacritic",,,,
11,Broken Flowers,2005,Jim Jarmusch,Comedy/Drama,An aging Don Juan receives an anonymous letter claiming he has a son and embarks on a road trip to visit four ex-girlfriends in Jarmuschs deadpan meditation on regret and missed connections.,Cannes Grand Prix; MC 71 RT 87%; $46M on $10M; Murray at his most melancholic; Jarmusch road movie; strong ensemble (Lange Swinton Stone Wright),"Cannes Film Festival, Metacritic, Rotten Tomatoes, Box Office Mojo",,,,
12,Why We Fight,2005,Eugene Jarecki,Documentary,The American military-industrial complex is examined from Eisenhowers warning through Iraq in Jareckis urgent provocative documentary about perpetual war and profit.,Sundance Grand Jury Prize Documentary; Oscar nom; Spirit nom; MC 73 RT 84%; Jareckis essential political documentary; surprisingly balanced; historically grounded,"Sundance Film Festival, Academy Awards, Independent Spirit Awards, Metacritic",,,,
13,A History of Violence,2005,David Cronenberg,Thriller/Drama,A small-town diner owner becomes a local hero after killing two robbers but his act of violence attracts dangerous men from his past forcing his family to confront the truth of who he is.,Cannes competition; 2 Oscar noms; BAFTA noms; NBR Billy Wilder Award; MC 82 RT 87%; $60M on $32M; Cronenbergs late-career masterpiece; Mortensen and Bello extraordinary,"Cannes Film Festival, Academy Awards, NBR, Metacritic",,,,
14,Enron: The Smartest Guys in the Room,2005,Alex Gibney,Documentary,The rise and catastrophic collapse of energy giant Enron is dissected through insider accounts and footage revealing the hubris corruption and human cost of corporate malfeasance.,Oscar nom Documentary; Sundance selection; Spirit nom; MC 82 RT 97%; $5M; Gibneys breakthrough; prescient corporate scandal documentary; enraging and riveting,"Academy Awards, Sundance Film Festival, Independent Spirit Awards, Metacritic",,,,
15,Shanghai Dreams,2005,Wang Xiaoshuai,Drama,A teenager dreams of returning to Shanghai while her family is stuck in a remote Third Front factory town during the Cultural Revolutions aftermath in Wangs tender coming-of-age film.,Cannes Jury Prize; MC 72 RT 81%; Chinese Sixth Generation cinema; intimate family drama amid historical upheaval; festival circuit essential,"Cannes Film Festival, Metacritic, Rotten Tomatoes, IndieWire",,,,
