Rank,Title,Year,Director,Primary_Genre,Synopsis,Major_Awards,Key_Sources,Favorite,Watchlist,Rating,RatingTimestamp
1,Drive My Car,2021,Ryusuke Hamaguchi,Drama,A renowned theater director processing grief develops an unexpected bond with his young chauffeur in Hamaguchis profound three-hour Murakami adaptation.,Oscar International Feature; 4 noms including Picture (rare for non-English); Cannes Screenplay; RT 97 MC 91; Nishijima Miura; Chekhov Uncle Vanya; multilingual,"Academy Awards, Cannes, Metacritic, Rotten Tomatoes",,1,,
2,CODA,2021,Sian Heder,Drama/Comedy,The only hearing member of a deaf family discovers a passion for singing and must choose between ambition and family in Heders landmark Apple TV+ drama.,Oscar Picture (first streaming film) + Adapted Screenplay + Supporting Actor (Kotsur first deaf male winner); Sundance Grand Jury + Audience + Directing; SAG Ensemble; Apple TV+ acquisition record,"Academy Awards, Sundance, SAG, Metacritic, Rotten Tomatoes",,1,,
3,Belfast,2021,Kenneth Branagh,Drama/Comedy,A young boy navigates a tumultuous childhood in 1960s Belfast during The Troubles in Branaghs heartfelt semi-autobiographical love letter to his hometown.,Oscar Original Screenplay; 7 noms including Picture Director; BAFTA Outstanding British Film; TIFF Peoples Choice; Golden Globe Screenplay; Dornan Balfe Dench Hinds; Van Morrison,"Academy Awards, BAFTA, TIFF, Golden Globes, Metacritic, Rotten Tomatoes",,,,
4,A Hero,2021,Asghar Farhadi,Drama,A man imprisoned for debt attempts to leverage a found bag of gold coins into freedom but his good deed spirals into a web of lies in Farhadis moral thriller.,Cannes Grand Prix (shared); Oscar nom International Feature; RT 93 MC 83; Farhadi A Separation follow-up; Iranian moral complexity; social media trial; Farhadi trademark ambiguity,"Cannes, Academy Awards, Metacritic, Rotten Tomatoes",,,,
5,Happening,2021,Audrey Diwan,Drama,A young student in 1960s France discovers she is pregnant and must navigate a world where abortion is illegal in Diwans urgent visceral debut.,Venice Golden Lion; RT 93 MC 76; Diwan debut; Voisin extraordinary; Annie Ernaux novel; 1960s France; illegal abortion; body autonomy; Venice surprise winner; physically intense,"Venice, Metacritic, Rotten Tomatoes",,,,
6,Wheel of Fortune and Fantasy,2021,Ryusuke Hamaguchi,Drama/Romance,Three interconnected stories explore coincidence and imagination in romantic life in Hamaguchis elegant triptych that announced him as a master.,Berlin Grand Jury Prize; RT 96 MC 87; Hamaguchi Drive My Car year; three stories; conversational cinema; Hamaguchi double triumph (Berlin + Cannes same year); Rohmer influence,"Berlin, Metacritic, Rotten Tomatoes",,,,
7,The Power of the Dog,2021,Jane Campion,Drama/Western,A domineering rancher torments his brothers new wife and her son until secrets from his own past are revealed in Campions masterful psychosexual western.,Oscar Director (Campion third woman to win); 12 noms (most 2021); BAFTA Director; Venice Silver Lion Director; Golden Globe Drama + Director; Cumberbatch Dunst Plemons Smit-McPhee; Netflix,"Academy Awards, Venice, BAFTA, Golden Globes, Metacritic, Rotten Tomatoes",,1,,
8,Summer of Soul,2021,Questlove,Documentary/Music,Footage from the 1969 Harlem Cultural Festival is restored and contextualized in Questloves electrifying directorial debut celebrating African-American music and culture.,Oscar Documentary Feature; Sundance Grand Jury + Audience Documentary; BAFTA Documentary; RT 99 MC 93; Questlove debut; 1969 Harlem; Stevie Wonder Sly Stone Nina Simone; lost footage,"Academy Awards, Sundance, BAFTA, Metacritic, Rotten Tomatoes",,,,
9,I'm Your Man,2021,Maria Schrader,Sci-Fi/Romance,A scientist evaluates a humanoid robot designed to be her ideal partner in Schraders witty Berlin-set romantic comedy about love and authenticity.,Oscar nom International Feature (Germany); Berlin; RT 87 MC 77; Schrader Unorthodox director; Dan Stevens fluent German; robot romance; Maren Eggert Silver Bear; AI companionship,"Academy Awards, Berlin, Metacritic, Rotten Tomatoes",,1,,
10,Compartment No. 6,2021,Juho Kuosmanen,Drama/Romance,A Finnish student and a gruff Russian miner share a train compartment on a journey to the Arctic and gradually connect in Kuosmanens tender cross-cultural film.,Cannes Grand Prix (shared with A Hero); RT 93 MC 81; Russia-Finland train; unlikely connection; Arctic Murmansk; Rosa Liksom novel; slow-burn warmth; Kuosmanen assured,"Cannes, Metacritic, Rotten Tomatoes",,1,,
11,Memoria,2021,Apichatpong Weerasethakul,Drama/Mystery,A woman in Colombia begins hearing a loud bang at dawn and travels deeper into the country to discover its source in Weerasethakuls mesmerizing sensory meditation.,Cannes Jury Prize; RT 91 MC 86; Swinton; Weerasethakul Uncle Boonmee follow-up; first film outside Thailand; Colombia; no streaming release ever; Swinton extraordinary stillness,"Cannes, Metacritic, Rotten Tomatoes",,1,,
12,Bad Luck Banging or Loony Porn,2021,Radu Jude,Drama/Comedy,A schoolteacher faces consequences when a sex tape leaks online in Judes provocative three-part social satire about Romanian hypocrisy and moral panic.,Berlin Golden Bear; RT 84 MC 72; Jude; Romanian New Wave; three-part structure; essay film; Encyclopedia of Romania section; COVID masks; Berlin surprise winner,"Berlin, Metacritic, Rotten Tomatoes",,,,
13,Flee,2021,Jonas Poher Rasmussen,Animation/Documentary,A man living in Denmark recounts his harrowing journey as an Afghan refugee through animated reenactments in Rasmussens groundbreaking hybrid documentary.,Oscar noms Documentary + Animated + International (first film nominated in all three); Sundance Grand Jury Documentary; RT 98 MC 88; Afghan refugee; LGBTQ; animation protects identity,"Academy Awards, Sundance, Metacritic, Rotten Tomatoes",,,,
14,Licorice Pizza,2021,Paul Thomas Anderson,Comedy/Drama,A young man and woman navigate first love in 1973 San Fernando Valley in Andersons loose vibrant ode to growing up in the fading golden age of Hollywood.,Oscar noms Picture Director Original Screenplay; BAFTA noms; Hoffman (Cooper and PSHs son) Haim star-making debuts; Anderson ninth film; 1970s nostalgia; Encino,"Academy Awards, BAFTA, Golden Globes, Metacritic, Rotten Tomatoes",,1,,
15,West Side Story,2021,Steven Spielberg,Musical/Drama,A modern retelling of Romeo and Juliet set among rival gangs on the Upper West Side in Spielbergs dazzling long-gestated musical remake.,Oscar Supporting Actress (DeBose first openly queer WOC); 7 noms including Picture Director; Golden Globe Comedy/Musical; DeBose Zegler Faist; Spielberg first musical; Kushner screenplay; $38M flop,"Academy Awards, BAFTA, Golden Globes, Metacritic, Rotten Tomatoes, Box Office Mojo",,1,,
16,King Richard,2021,Reinaldo Marcus Green,Drama/Biography,The true story of Richard Williams the determined father who raised Venus and Serena Williams into two of the most gifted athletes in history.,Oscar Actor (Will Smith + slapped Chris Rock on live TV); 6 noms including Picture; SAG Actor; Golden Globe Actor Drama; BAFTA Actor; Beyonce Be Alive nom; Green breakthrough,"Academy Awards, SAG, Golden Globes, BAFTA, Metacritic, Rotten Tomatoes",,,,
17,Titane,2021,Julia Ducournau,Horror/Drama,A woman with a titanium plate in her skull embarks on a violent spree and assumes a missing persons identity while undergoing a bizarre metamorphosis in Ducournaus transgressive body horror.,Cannes Palme dOr (Ducournau second woman after Campion); Rousselle Lindon; Ducournau Raw follow-up; body horror; gender fluidity; most divisive Palme winner; Cronenbergian,"Cannes, Metacritic, Rotten Tomatoes",,,,
18,Aheds Knee,2021,Nadav Lapid,Drama,An Israeli filmmaker rebels against government censorship in the desert in Lapids furious autobiographical political cry.,Cannes Jury Prize (shared with Memoria); RT 80 MC 69; Lapid Synonyms follow-up; Israeli censorship; artistic freedom; personal filmmaking; political protest; Lapid provocative,"Cannes, Metacritic, Rotten Tomatoes",,,,
19,The Worst Person in the World,2021,Joachim Trier,Drama/Comedy,A young woman navigates the pitfalls of love and career as she approaches 30 in modern Oslo in Triers luminous final chapter of his Oslo Trilogy.,Oscar noms Original Screenplay + International Feature; Cannes Best Actress (Reinsve); RT 96 MC 90; Reinsve star-making; Trier Oslo Trilogy conclusion; Danielsen Lie,"Academy Awards, Cannes, Metacritic, Rotten Tomatoes",,1,,
20,Identifying Features,2021,Fernanda Valadez,Drama/Thriller,A mother searches for her son who disappeared on his way to the US border in Valadezs haunting formally controlled debut about Mexicos missing.,Sundance Audience Award World Cinema; Spirit International; RT 97 MC 82; Valadez debut; missing persons Mexico; border crossing; maternal search; landscape as character,"Sundance, Spirit Awards, Metacritic, Rotten Tomatoes",,,,
21,Petite Maman,2021,Celine Sciamma,Fantasy/Drama,An eight-year-old girl meets another girl her age in the woods who turns out to be her own mother as a child in Sciammas exquisite time-bending fable.,RT 99 MC 93; Berlin; Sciamma Portrait of a Lady on Fire follow-up; 72 minutes; childhood grief; mother-daughter; time collapse; minimalist masterpiece; tenderness,"Berlin, Metacritic, Rotten Tomatoes",,,,
22,Hive,2021,Blerta Basholli,Drama,A Kosovar woman presumed war widow starts a business to provide for her family and faces patriarchal opposition in Bashollis inspired-by-true-events debut.,Sundance triple winner (Directing + Audience + Grand Jury World Cinema); RT 96 MC 73; Kosovo war aftermath; female entrepreneurship; beekeeping; Sundance sweep; Kosovar cinema,"Sundance, Metacritic, Rotten Tomatoes",,1,,
23,Pig,2021,Michael Sarnoski,Drama,A truffle hunter living alone in the Oregon wilderness must return to Portland to find his beloved foraging pig in Sarnoskis profoundly moving subversive debut.,RT 97 MC 82; Spirit nom; Cage career-best late-period performance; Sarnoski debut; Portland food world; subverted expectations (not revenge); Cage quiet intensity; truffle hunting,"Spirit Awards, Metacritic, Rotten Tomatoes",,,,
24,Passing,2021,Rebecca Hall,Drama,Two Black women who can pass as white choose opposite sides of the color line in 1920s New York in Halls stunning black-and-white directorial debut.,Sundance premiere; Spirit noms; Netflix; RT 90 MC 80; Thompson Negga; Hall debut; Nella Larsen novel; racial identity; 4:3 black and white; 1920s Harlem; code-switching,"Sundance, Spirit Awards, Metacritic, Rotten Tomatoes",,1,,
25,The Hand of God,2021,Paolo Sorrentino,Drama/Comedy,A teenage boy in 1980s Naples is shaped by football legend Maradona and a devastating personal tragedy in Sorrentinos autobiographical masterwork.,Oscar nom International Feature; Venice Grand Jury Prize; Netflix; RT 89 MC 76; Sorrentino Youth Great Beauty follow-up; Naples 1980s; Maradona; Filippo Scotti; autobiographical,"Academy Awards, Venice, Metacritic, Rotten Tomatoes",,,,
26,The Card Counter,2021,Paul Schrader,Drama/Thriller,A former military interrogator turned gambler is haunted by Abu Ghraib and drawn into a young mans revenge scheme in Schraders measured character study.,Venice Competition; RT 86 MC 78; Isaac Sheridan Haddish; Schrader First Reformed follow-up; Abu Ghraib; gambling redemption; Oscar Isaac commanding; moral reckoning,"Venice, Metacritic, Rotten Tomatoes",,1,,
27,Attica,2021,Stanley Nelson and Traci Curry,Documentary,The 1971 Attica Prison uprising told through survivor interviews and newly revealed evidence in Nelsons powerful historical documentary.,Sundance Special Jury; TIFF; Showtime; RT 97 MC 83; Nelson veteran documentarian; 50-year reckoning; state violence; systemic racism; newly uncovered footage; survivor testimony,"Sundance, TIFF, Metacritic, Rotten Tomatoes",,,,
28,The Mitchells vs. the Machines,2021,Mike Rianda and Jeff Rowe,Animation/Comedy,A dysfunctional family must save the world when a robot apocalypse interrupts their road trip in Riandas wildly inventive Sony animated comedy.,Oscar nom Animated; Netflix; RT 97 MC 81; Rianda debut; Lord Miller produced; LGBTQ protagonist; visual inventiveness; best animated film of 2021 for many; Katie Mitchell,"Academy Awards, Metacritic, Rotten Tomatoes",,,,
29,Writing with Fire,2021,Rintu Thomas and Sushmit Ghosh,Documentary,A fearless group of Dalit women journalists run Indias only newspaper led by women from the lowest caste in Thomas and Ghoshs empowering documentary.,Oscar nom Documentary; RT 98 MC 76; Khabar Lahariya newspaper; Dalit women; Indian caste system; digital revolution; citizen journalism; empowerment; systemic oppression,"Academy Awards, Metacritic, Rotten Tomatoes",,,,
30,Don't Look Up,2021,Adam McKay,Comedy/Drama,Two astronomers try to warn humanity about an approaching comet that will destroy Earth but are met with indifference in McKays blunt climate change allegory.,Oscar noms Picture + Screenplay + Editing + Score; Netflix; DiCaprio Lawrence; McKay Big Short follow-up; climate allegory; most-viewed Netflix film at time; divisive zeitgeist hit,"Academy Awards, Metacritic, Rotten Tomatoes",,,4,2026-04-01T13:39:25.471Z
31,The Velvet Underground,2021,Todd Haynes,Documentary/Music,The story of Lou Reed John Cale and the legendary band that changed modern musics trajectory in Haynes formally radical documentary.,Cannes; Apple TV+; RT 95 MC 83; Haynes Carol Velvet Goldmine director; split-screen collage; Warhol era; Reed Cale Nico; form mirrors content; NYC 1960s,"Cannes, Metacritic, Rotten Tomatoes",,,,
32,The Souvenir Part II,2021,Joanna Hogg,Drama,A young film student processes her grief and uses art to reckon with a painful relationship in Hoggs brilliant autobiographical sequel.,Cannes; RT 93 MC 84; Honor Swinton Byrne Tilda Swinton; Hogg autobiographical; filmmaking as therapy; film-within-a-film; Hogg career-best; Julie rebuilds through cinema,"Cannes, Metacritic, Rotten Tomatoes",,,,
33,Ascension,2021,Jessica Kingdon,Documentary,A kaleidoscopic journey through contemporary China capturing the country racing toward its own economic goals in Kingdons stunning visual essay.,Oscar nom Documentary; RT 93 MC 82; Kingdon debut; observational; Chinese Dream; factory workers to elites; visual essay; no narration; capitalist ambition; social hierarchy,"Academy Awards, Metacritic, Rotten Tomatoes",,,,
34,Mass,2021,Fran Kranz,Drama,Two sets of parents meet face to face years after their sons were involved in a school shooting in Kranzs devastating four-person chamber drama.,Sundance premiere; RT 98 MC 80; Plimpton Isaacs Dowd Tucker; Kranz directorial debut; single room; school shooting aftermath; four extraordinary performances; Plimpton career-best,"Sundance, Metacritic, Rotten Tomatoes",,,,
35,Mr. Bachmann and His Class,2021,Maria Speth,Documentary,A charismatic teacher in an immigrant-heavy German town uses unorthodox methods to inspire his students in Speths intimate epic-length portrait of education as empathy.,Berlin Jury Prize; RT 100 MC 84; Stadtallendorf Germany; immigration; education; 217 minutes; extraordinary teacher; multicultural classroom; Wiseman comparisons; German immigration,"Berlin, Metacritic, Rotten Tomatoes",,,,
