Rank,Title,Year,Director,Primary_Genre,Synopsis,Major_Awards,Key_Sources,Favorite,Watchlist,Rating,RatingTimestamp
1,12 Years a Slave,2013,Steve McQueen,Drama/History,A free Black man in 1840s New York is kidnapped and sold into slavery in Louisiana enduring twelve years of brutality before finding a path to liberation in McQueens essential American masterpiece.,Oscar Best Picture + Adapted Screenplay + Supporting Actress (Nyongo); TIFF Peoples Choice; BAFTA Film; Golden Globe Drama; Spirit Best Feature + Director; MC 97 RT 95; Ejiofor Fassbender Nyongo,"Academy Awards, TIFF, BAFTA, Golden Globes, Spirit Awards",,1,,
2,Fruitvale Station,2013,Ryan Coogler,Drama,The final day of Oscar Grant a young Black man shot by transit police on a Bay Area platform on New Years Day 2009 is tenderly reconstructed in Cooglers shattering debut.,Sundance Grand Jury Prize + Audience Dramatic; Spirit Best First Feature; Cannes Un Certain Regard; MC 85 RT 94; Jordan career-defining; Coogler pre-Black Panther,"Sundance, Cannes Film Festival, Spirit Awards, Metacritic",,,,
3,Gravity,2013,Alfonso Cuaron,Sci-Fi/Thriller,An astronaut stranded in orbit after debris destroys her shuttle must find a way back to Earth in Cuarons breathtaking technically revolutionary survival epic.,7 Oscars (Director Cinematography Score Editing Sound Editing Sound Mixing VFX); BAFTA Director; Golden Globe Director; RT 96 MC 96; $723M on $100M; Bullock Clooney; Lubezki mastery,"Academy Awards, BAFTA, Golden Globes, Metacritic, Box Office Mojo",,1,,
4,Inside Llewyn Davis,2013,Joel Coen and Ethan Coen,Drama/Music,A struggling folk singer navigates Greenwich Village in 1961 carrying his existential burden and a friends cat through a week of professional failures and personal indignities.,Cannes Grand Prix; MC 93 RT 92; Oscar Isaac career-defining; Coens melancholy masterwork; T Bone Burnett music; Carey Mulligan; Llewyn Davis cat; bittersweet loop,"Cannes Film Festival, Metacritic, Rotten Tomatoes, Sight and Sound",,1,,
5,Blue Is the Warmest Color,2013,Abdellatif Kechiche,Drama/Romance,A French teenager discovers desire identity and heartbreak through an intense years-spanning relationship with an older art student in Kechiches immersive epic.,Cannes Palme dOr (shared with actresses Exarchopoulos and Seydoux); MC 90 RT 89; three-hour intimate portrait; unprecedented Palme shared with cast; controversial explicit scenes,"Cannes Film Festival, Metacritic, Rotten Tomatoes, Sight and Sound",,1,,
6,The Wolf of Wall Street,2013,Martin Scorsese,Comedy/Drama,The rise and spectacular fall of stockbroker Jordan Belfort is told through three hours of excess debauchery and financial fraud in Scorseses exhilarating satirical epic.,5 Oscar noms (Picture Director Actor Adapted Screenplay Supporting Actor); Golden Globe Actor (DiCaprio); MC 75 RT 79; $392M; DiCaprio Hill; Quaalude sequence legendary,"Academy Awards, Golden Globes, Metacritic, Rotten Tomatoes, Box Office Mojo",,,4,2026-04-02T07:33:03.552Z
7,Nebraska,2013,Alexander Payne,Drama/Comedy,An aging alcoholic and his estranged son drive from Montana to Nebraska to claim a million-dollar sweepstakes prize in Paynes beautifully shot black-and-white road movie.,Cannes Best Actor (Dern); Oscar noms Picture Director Actor Cinematography Original Screenplay Editing; MC 86 RT 91; Dern Forte; Midwest elegy; Phedon Papamichael photography,"Cannes Film Festival, Academy Awards, Metacritic, Rotten Tomatoes",,1,,
8,American Hustle,2013,David O. Russell,Crime/Comedy,A con artist and his partner are forced by an FBI agent to work an elaborate sting operation targeting corrupt politicians in Russells stylish 1970s-set caper.,Golden Globe Comedy Picture + Actress (Adams); 10 Oscar noms (zero wins); MC 90 RT 92; Bale Cooper Adams Lawrence Renner; style triumphs; Russells best ensemble,"Golden Globes, Academy Awards, Metacritic, Rotten Tomatoes",,1,,
9,Sacro GRA,2013,Gianfranco Rosi,Documentary,The lives of people living along Romes Grande Raccordo Anulare ring road are observed in Rosis contemplative documentary portrait of the citys margins.,Venice Golden Lion (first documentary to win); RT 74 MC 66; Rosi observational mastery; Rome periphery; fishermen nobles paramedics botanists; Venice historic win,"Venice Film Festival, Metacritic, Rotten Tomatoes, IndieWire",,,,
10,Her,2013,Spike Jonze,Sci-Fi/Romance,A lonely man in near-future Los Angeles falls in love with his artificially intelligent operating system in Jonzes tender prescient and profoundly moving exploration of connection.,Oscar Original Screenplay; Golden Globe Screenplay; BAFTA Original Screenplay; Spirit nom; MC 90 RT 94; Phoenix Johansson (voice); AI romance prophetic,"Academy Awards, Golden Globes, BAFTA, Metacritic, Rotten Tomatoes",,1,,
