Rank,Title,Year,Director,Primary_Genre,Synopsis,Major_Awards,Key_Sources,Favorite,Watchlist,Rating,RatingTimestamp
1,Nomadland,2020,Chloe Zhao,Drama,A woman in her sixties embarks on a journey through the American West living as a modern-day nomad in a van after the economic collapse of her company town in Zhaos transcendent docufiction masterpiece.,Oscar Picture + Director (Zhao second woman first woman of color) + Actress (McDormand third win); Venice Golden Lion; TIFF Peoples Choice; BAFTA Film + Director + Actress; Golden Globe Drama + Director; Spirit Feature + Director; swept every major award,"Academy Awards, Venice, TIFF, BAFTA, Golden Globes, Spirit Awards, Metacritic, Rotten Tomatoes",,1,,
2,Minari,2020,Lee Isaac Chung,Drama,A Korean-American family moves to rural Arkansas in the 1980s to pursue the American Dream in Chungs deeply personal semi-autobiographical story of immigrant hope and generational conflict.,Oscar Supporting Actress (Youn Yuh-jung first Korean acting winner); Sundance Grand Jury + Audience; 6 Oscar noms including Picture; Golden Globe Foreign Language (controversial); Spirit noms; Chung autobiographical; Steven Yeun first Asian-American Best Actor nom,"Academy Awards, Sundance, Golden Globes, Spirit Awards, Metacritic, Rotten Tomatoes",,1,,
3,Promising Young Woman,2020,Emerald Fennell,Thriller/Drama,A young woman haunted by a traumatic event uses her cunning to teach predatory men a lesson in Fennells audacious razor-sharp directorial debut about complicity and revenge.,Oscar Original Screenplay (Fennell); 5 Oscar noms including Picture Director Actress; BAFTA Original Screenplay; Mulligan extraordinary; Fennell debut; MeToo revenge thriller; candy-colored feminist fury; Sundance premiere; polarizing finale,"Academy Awards, BAFTA, Sundance, Metacritic, Rotten Tomatoes",,1,,
4,Pieces of a Woman,2020,Kornel Mundruczo,Drama,A woman struggles to come to terms with the devastating aftermath of a home birth gone wrong in Mundruczo powerful intimate drama anchored by a career-best performance.,Venice Best Actress (Kirby); Oscar nom Actress (Kirby); RT 74 MC 65; Netflix; Kirby Crown star; Shia LaBeouf; opening 25-minute single take birth sequence; grief; Kata Weber screenplay; Mundruczo White God director,"Venice, Academy Awards, Metacritic, Rotten Tomatoes",,1,,
5,Sun Children,2020,Majid Majidi,Drama,A 12-year-old boy and his friends are sent on a dangerous mission to find hidden treasure beneath a school in Majidis Iranian drama about childhood poverty and exploitation.,Venice Marcello Mastroianni Award (Zamani); Oscar submission Iran; RT 82 MC 66; Majidi Children of Heaven director; Tehran street children; treasure hunt; child labor; education; Zamani non-professional; Majidi compassionate; Iranian neorealism,"Venice, Metacritic, Rotten Tomatoes",,,,
6,There Is No Evil,2020,Mohammad Rasoulof,Drama,Four stories explore the impact of the death penalty in Iran connected by the theme of personal freedom under an authoritarian regime in Rasoulofs courageous anthology.,Berlin Golden Bear; RT 92 MC 77; Rasoulof banned from leaving Iran; made film secretly; four interconnected stories; Iranian death penalty; moral choice; state violence; Rasoulof act of resistance; political filmmaking at its bravest,"Berlin, Metacritic, Rotten Tomatoes",,1,,
7,Quo Vadis Aida?,2020,Jasmila Zbanic,War/Drama,A UN translator desperately tries to save her family when the Serbian army takes over the town of Srebrenica in Zbanics devastating account of the 1995 Bosnian genocide.,Oscar nom International Feature; Spirit International Film; BAFTA nom Non-English; Venice Competition; RT 97 MC 82; Zbanic Grbavica follow-up; Srebrenica massacre; Jasna Djuricic extraordinary lead; peacekeeping failure; historical tragedy,"Academy Awards, Venice, Spirit Awards, BAFTA, Metacritic, Rotten Tomatoes",,,,
8,Sound of Metal,2020,Darius Marder,Drama,A punk-metal drummer begins to lose his hearing and must confront a future of silence that threatens everything he knows in Marders immersive compassionate debut.,Oscar Sound + Film Editing; 6 noms including Picture Actor (Ahmed); Spirit First Feature + Male Lead (Ahmed); BAFTA noms; Riz Ahmed career-best; Marder debut; revolutionary sound design; deaf community; Paul Raci extraordinary support,"Academy Awards, Spirit Awards, BAFTA, Metacritic, Rotten Tomatoes",,,,
9,Wolfwalkers,2020,Tomm Moore and Ross Stewart,Animation/Fantasy,A young hunter befriends a free-spirited girl from a mysterious tribe who can transform into wolves in Moores stunning hand-drawn animated Irish folklore finale.,Oscar nom Animated Feature; BAFTA nom; Apple TV+; RT 99 MC 88; Moore Song of the Sea Secret of Kells trilogy finale; Cartoon Saloon; Irish mythology; hand-drawn animation; gorgeous visual style; ecological themes; environmental warning,"Academy Awards, BAFTA, Metacritic, Rotten Tomatoes",,,,
10,Boys State,2020,Jesse Moss and Amanda McBaine,Documentary,A thousand 17-year-old boys from across Texas gather to build a representative government in a democratic experiment that reveals American political dynamics in microcosm.,Oscar nom Documentary; Sundance Grand Jury Documentary; Apple TV+; RT 96 MC 80; American Legion program; teenage politics; Ben Feinstein Steven Garza; democracy exercise; political tribalism mirror; urgent and entertaining,"Academy Awards, Sundance, Metacritic, Rotten Tomatoes",,,,
